epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.617234468937877,3.845731934614184,7.787384734093323,8.788166225666224,42.35136940547763,40.60919446365121,42.242056660943085,42.57193580242097
1,16.76686706746827,9.530442339770136,9.304037227352143,17.187859877999607,42.55177020708083,40.840013443742194,43.03708454059982,43.192096050472024
2,16.76686706746827,8.021633556408542,5.551051862527272,16.60606060606061,47.69539078156313,46.28964383629157,47.83518828577743,47.59266348525809
3,21.175684702738813,17.072960188554354,29.045775036969584,21.382618256080736,49.766199064796254,48.4168026499091,49.547799384242396,49.51885954452021
4,19.7060788243153,12.505451108085541,25.42534919357028,19.51267851081284,48.96459585838343,47.04914025990378,48.82824158757133,48.869462215198716
5,22.110888443553776,18.04264644521116,31.527338064314247,22.552531320385082,49.498997995991985,48.970959587564224,49.49096755303618,49.540013423886975
6,22.044088176352705,16.330118634294404,39.05754587173414,21.967259639163046,53.106212424849694,52.05549179802927,53.21005786867803,53.00933187321484
7,26.18570474281897,22.096045070815844,34.860324081709805,26.612388892866196,54.10821643286573,53.70058476446741,54.677454994503016,53.9756463528671
8,26.920507682030724,22.007313923734863,36.023208561508476,26.95967979874496,54.97661990647963,54.59099944418438,55.32338807814583,54.83480341151835
9,29.058116232464933,25.4412190805006,36.452089086115166,29.21334401337373,54.50901803607214,54.027524571628774,55.227059663472964,54.586157296282046
10,29.52571810287241,26.449603289987717,34.338483132554536,29.786498382679223,54.50901803607214,54.18868670338328,55.58962670292276,54.23915860244322
11,30.72812291249165,27.444359204570485,37.7643953010173,30.902686708493356,52.037408149632604,52.220311010863576,53.37757639350076,52.141496459763694
12,31.93052772211089,29.82182066576068,38.54433578600154,32.15851774540862,54.37541750167001,54.43385334982008,54.88512551364282,54.40805024828836
13,32.1309285237141,29.345554249498957,35.23957645774558,32.28935284216378,56.64662658650634,56.56424151177271,57.326839945684426,56.74033458354775
14,33.53373413493654,30.606437013887316,38.43763748400188,33.85321728923189,55.778223112892455,55.785560683291244,56.111583068374784,55.72284074486269
15,34.335337341349366,32.19509828759393,40.3088972387933,34.49213555811678,56.84702738810955,56.24593313004682,56.3568410780493,56.847926031494055
16,35.136940547762194,33.4644551710389,39.60914888413568,35.28508267819699,55.845023380093515,55.14875408555644,55.45606532547147,55.82884248232168
17,34.736138944555776,32.807520033391704,40.04034583019164,34.84799561572547,55.377421509686044,55.11115159710472,55.4581350826134,55.25134736915296
18,35.07014028056113,33.60429503485407,40.1911182598744,35.277551857576086,55.91182364729459,56.00360308204374,56.801843393896746,55.95842042790651
19,34.13493653974616,32.02048409791589,38.320349439711116,34.21292127761568,56.980627922511694,57.0313868430216,57.874877376566126,57.06662187724877
20,34.936539746158985,33.05268207591929,38.938307762977225,34.91055294570462,55.71142284569138,55.508817726821334,56.58129332133952,55.737946030608285
21,34.2685370741483,32.323522383198224,39.13522437676164,34.29318531735881,55.444221776887105,54.55255842872588,55.70499035298651,55.50838157315309
22,35.20374081496326,33.41689696829454,39.615291287260455,35.218553749538074,55.11022044088176,55.17534644819835,55.98054524344687,55.222876160825166
23,35.40414161656646,33.53072146961367,39.91769174107287,35.39765850559291,55.71142284569138,55.738170375046245,56.125791441883365,55.69184368905704
24,35.136940547762194,33.110702173527486,39.58674284950023,35.17292507960608,55.64462257849031,55.48397227689965,55.51830339402392,55.68487325329994
25,35.60454241816967,33.62398565061337,39.56283431110694,35.58996954465262,55.71142284569138,55.69959074028097,56.486334308728345,55.772036910030145
26,35.20374081496326,33.455786923044904,38.91174526050879,35.267653195848084,56.312625250501,56.062778197110205,56.43852116080623,56.30742269416385
27,35.671342685370746,33.81037193705995,39.312873359344536,35.75027659979148,56.045424181696724,55.61679712817777,56.720588746873226,56.121598094901124
28,36.138944555778224,34.522924580598456,40.34389443037686,36.09401652856383,56.179024716098866,56.01844076079318,56.653271530820945,56.317741394928944
29,36.20574482297929,34.282891918474824,40.017303121976276,36.20728398358013,55.243820975283896,55.0587852441281,55.328782029809865,55.32289825960992
30,35.80494321977288,34.288712901365855,39.6421347834736,35.850132939475436,55.51102204408818,55.26129921291112,55.25027015155006,55.58032822584672
31,36.33934535738143,34.66876716909786,39.51117914353018,36.35097780283843,56.379425517702074,56.215614414162594,56.467058081514644,56.601635577055966
32,35.537742150968604,33.667809512143464,39.202935006194885,35.54147517162013,56.379425517702074,56.12662072043473,56.24269833331952,56.277319465360165
33,37.00734802939212,35.64125111342352,41.051311950157135,36.9948520004732,55.64462257849031,55.41810161452767,56.15353133561539,55.548133420856
34,35.73814295257181,34.370225864753145,39.748463302009455,35.79588301881015,53.57381429525718,53.77474285370107,54.445467722063924,53.64834074887517
35,35.80494321977288,34.250543182522975,39.83924327357708,35.81411305065779,56.379425517702074,55.92846169897856,56.54089575633332,56.49350277131013
36,36.07214428857716,34.5914374846015,40.38441432482463,36.05586607587165,56.24582498329993,56.034478364724336,56.43684451124828,56.20903664778765
37,35.671342685370746,34.28984085389061,39.66883504848512,35.69485225363292,57.581830327321306,56.9256399149238,57.42013330202271,57.65631645553449
38,35.87174348697395,34.59988689140302,40.38792728583375,35.90110603293706,56.379425517702074,56.21084364173552,56.48908252177546,56.32821049286344
39,36.74014696058784,35.51340355760343,40.97521645062328,36.73455273406632,55.845023380093515,55.83283658033922,56.77766218376297,55.95332564037724
40,36.33934535738143,34.96005470978499,40.22130374031215,36.324430847441874,57.64863059452237,57.66907345039518,58.636982530199845,57.843955236986055
41,36.80694722778891,35.6699584306852,41.16713351630179,36.79081328741264,56.312625250501,56.10049159888724,56.550526420095245,56.33523375594779
42,37.07414829659319,35.86466535235847,41.62456976100095,37.099812152720915,56.91382765531062,57.226965708977254,58.07355220757502,56.93936054396423
43,37.140948563794254,35.917174554077185,41.56818867051243,37.17309037062119,58.583834335337336,58.33153988434591,58.561157335403514,58.63429010730579
44,37.80895123580494,36.69392306313735,42.22879114390804,37.78249667557734,55.845023380093515,56.08773676805112,57.07149134185834,55.90381061903413
45,37.74215096860388,36.40297765153158,43.409571687011244,37.760286570207526,57.71543086172345,57.73336341711002,58.34009176130539,57.739567811919265
46,37.74215096860388,36.74542743096106,41.87635641937325,37.77186673153399,54.50901803607214,54.46920003537213,55.91128482373573,54.70130680673419
47,38.07615230460922,37.2761186238595,41.914915248313086,38.048573900546224,58.583834335337336,58.32727410301941,58.67458324167545,58.67047930611238
48,37.4749498997996,36.72022760203174,41.45346929852369,37.54849050925033,56.312625250501,56.075727034200895,56.28628626532925,56.35340569755082
49,38.20975283901136,37.48853452977914,41.930192844340695,38.2720323817327,56.1122244488978,55.926276548692044,56.44618229391087,56.17857069045523
