round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vit_tiny,cifar10,0.1,0,base.patch_embed,0.998842
1,1,vit_tiny,cifar10,0.1,1,base.blocks.0,0.998752
1,1,vit_tiny,cifar10,0.1,2,base.blocks.1,0.996954
1,1,vit_tiny,cifar10,0.1,3,base.blocks.2,0.993693
1,1,vit_tiny,cifar10,0.1,4,base.blocks.3,0.988453
1,1,vit_tiny,cifar10,0.1,5,base.blocks.4,0.983009
1,1,vit_tiny,cifar10,0.1,6,base.blocks.5,0.977627
1,1,vit_tiny,cifar10,0.1,7,base.blocks.6,0.974339
1,1,vit_tiny,cifar10,0.1,8,base.blocks.7,0.971115
1,1,vit_tiny,cifar10,0.1,9,base.blocks.8,0.969753
1,1,vit_tiny,cifar10,0.1,10,base.blocks.9,0.967568
1,1,vit_tiny,cifar10,0.1,11,base.blocks.10,0.966289
1,1,vit_tiny,cifar10,0.1,12,base.blocks.11,0.964337
1,1,vit_tiny,cifar10,0.1,13,base.norm,0.976793
1,1,vit_tiny,cifar10,0.1,14,classifier,0.775227
1,0,vit_tiny,cifar10,0.1,0,base.patch_embed,0.998270
1,0,vit_tiny,cifar10,0.1,1,base.blocks.0,0.998009
1,0,vit_tiny,cifar10,0.1,2,base.blocks.1,0.996104
1,0,vit_tiny,cifar10,0.1,3,base.blocks.2,0.992808
1,0,vit_tiny,cifar10,0.1,4,base.blocks.3,0.987322
1,0,vit_tiny,cifar10,0.1,5,base.blocks.4,0.980674
1,0,vit_tiny,cifar10,0.1,6,base.blocks.5,0.973669
1,0,vit_tiny,cifar10,0.1,7,base.blocks.6,0.968091
1,0,vit_tiny,cifar10,0.1,8,base.blocks.7,0.963347
1,0,vit_tiny,cifar10,0.1,9,base.blocks.8,0.960513
1,0,vit_tiny,cifar10,0.1,10,base.blocks.9,0.957814
1,0,vit_tiny,cifar10,0.1,11,base.blocks.10,0.957049
1,0,vit_tiny,cifar10,0.1,12,base.blocks.11,0.956205
1,0,vit_tiny,cifar10,0.1,13,base.norm,0.956178
1,0,vit_tiny,cifar10,0.1,14,classifier,0.620932
1,4,vit_tiny,cifar10,0.1,0,base.patch_embed,0.999306
1,4,vit_tiny,cifar10,0.1,1,base.blocks.0,0.999232
1,4,vit_tiny,cifar10,0.1,2,base.blocks.1,0.998300
1,4,vit_tiny,cifar10,0.1,3,base.blocks.2,0.995400
1,4,vit_tiny,cifar10,0.1,4,base.blocks.3,0.989572
1,4,vit_tiny,cifar10,0.1,5,base.blocks.4,0.983561
1,4,vit_tiny,cifar10,0.1,6,base.blocks.5,0.977378
1,4,vit_tiny,cifar10,0.1,7,base.blocks.6,0.971788
1,4,vit_tiny,cifar10,0.1,8,base.blocks.7,0.966841
1,4,vit_tiny,cifar10,0.1,9,base.blocks.8,0.963041
1,4,vit_tiny,cifar10,0.1,10,base.blocks.9,0.957805
1,4,vit_tiny,cifar10,0.1,11,base.blocks.10,0.954474
1,4,vit_tiny,cifar10,0.1,12,base.blocks.11,0.950894
1,4,vit_tiny,cifar10,0.1,13,base.norm,0.963814
1,4,vit_tiny,cifar10,0.1,14,classifier,0.824635
1,9,vit_tiny,cifar10,0.1,0,base.patch_embed,0.999097
1,9,vit_tiny,cifar10,0.1,1,base.blocks.0,0.998998
