round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,18.7709,12.0103,11.9171,19.4725,0,0.166056,0.100637,2.587729,1.100241,0.578204,0.244283,0.001695,0.001027,0.001106,0.00047,0.013161,0.005561,0.207248,0.038189,0.057466,38.2052,31.5789,69.7842,10.8948
2,0.00999014,16.0321,10.8979,20.0337,16.1368,0,0.197177,0.153211,1.205242,0.59804,0.720271,0.303709,0.002012,0.001564,0.000515,0.000256,0.016395,0.006913,0.388748,0.045308,0.075162,61.1511,0.0,61.1511,17.4986
3,0.00996061,17.4349,9.984,14.3522,18.8199,0,0.157828,0.106454,1.13911,0.514396,1.034468,0.535658,0.001611,0.001086,0.000487,0.00022,0.023547,0.012193,0.496231,0.205382,0.158891,69.0647,0.0,69.0647,19.7196
4,0.00991152,20.5745,12.387,12.0422,20.5744,0,0.188879,0.161138,0.763469,0.478169,0.909757,0.51117,0.001928,0.001645,0.000326,0.000204,0.020708,0.011636,0.60579,0.058335,0.043105,44.0647,25.0,69.0647,11.5897
5,0.00984307,16.8337,9.4172,19.5047,18.5023,0,0.178156,0.129708,0.855275,0.402195,0.971969,0.467819,0.001818,0.001324,0.000365,0.000172,0.022125,0.010649,0.494811,0.098119,0.087977,69.0647,0.0,69.0647,19.1183
6,0.00975553,21.3093,13.0419,13.6365,21.5986,0,0.186957,0.167642,0.733718,0.440612,0.904011,0.436581,0.001908,0.001711,0.000314,0.000188,0.020578,0.009938,0.550162,0.076198,-0.021368,44.7842,25.0,69.7842,11.826
7,0.00964923,17.3013,9.8844,10.7143,18.922,0,0.180653,0.113053,0.825409,0.380125,0.926013,0.433736,0.001844,0.001154,0.000353,0.000162,0.021078,0.009873,0.484921,0.14708,0.03047,70.5036,0.0,70.5036,17.877
8,0.00952461,27.1877,22.34,23.6135,27.9791,0,0.148187,0.104927,0.725647,0.394454,0.903599,0.38437,0.001512,0.001071,0.00031,0.000169,0.020568,0.008749,0.54372,0.063897,-0.033193,69.7842,0.0,69.7842,19.3464
9,0.00938215,20.7081,14.9593,20.4845,22.1699,0,0.10858,0.057633,0.797733,0.373503,0.818684,0.356058,0.001108,0.000588,0.000341,0.00016,0.018635,0.008105,0.269963,0.068345,-0.027488,58.723,12.5,71.223,17.3045
10,0.00922242,27.1209,22.8053,28.6714,28.0874,0,0.099556,0.068142,0.756519,0.376459,0.772831,0.332633,0.001016,0.000695,0.000323,0.000161,0.017592,0.007572,0.239399,0.005949,-0.037305,69.7842,0.0,69.7842,18.7059
11,0.00904604,22.8457,17.3383,28.0414,24.1043,0,0.100467,0.051906,0.798536,0.357973,0.7146,0.312372,0.001025,0.00053,0.000341,0.000153,0.016266,0.00711,0.246554,0.027908,-0.038795,55.8453,12.5,68.3453,16.944
12,0.00885371,27.5217,23.4808,31.3909,28.7262,0,0.101116,0.054089,0.797435,0.365822,0.700146,0.298958,0.001032,0.000552,0.000341,0.000156,0.015937,0.006805,0.209631,0.013371,-0.036458,69.0647,0.0,69.0647,19.1516
13,0.0086462,22.3781,17.0715,27.7496,23.756,0,0.106142,0.05173,0.814863,0.363693,0.667107,0.287412,0.001083,0.000528,0.000348,0.000155,0.015185,0.006542,0.180339,0.026593,-0.040408,71.223,0.0,71.223,18.9387
