epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,13.293253173012692,9.705970792122326,10.47205368445618,12.702879844520268,57.51503006012024,54.98360917121951,57.90904738483423,56.92781052960124
1,18.770875083500336,12.010279518319923,11.917072934722166,19.472481768043135,55.31062124248497,54.24090905969179,55.40182173703816,54.86134547043437
2,16.03206412825651,10.89794615683047,20.033675179039165,16.136839610881758,54.776219104876425,53.897308386229724,57.12910269599717,55.66718062270023
3,17.43486973947896,9.984005057316887,14.352222192295722,18.81986069872638,56.179024716098866,54.13105020206024,56.61290063216442,56.010629249459896
4,20.57448229792919,12.38695293918301,12.042150400359356,20.574369879037725,55.51102204408818,53.86936225161663,56.90117386985926,55.449186812967625
5,16.83366733466934,9.417191211313272,19.504737653539078,18.502323197119498,58.91783567134269,56.25942887567794,60.16431209366618,58.424100988812256
6,21.309285237140948,13.041923636567665,13.63652737018338,21.598607686222532,54.44221776887107,50.061484677570554,57.78464446985731,54.109205317046886
7,17.30126920507682,9.884370698109871,10.714340797047566,18.922020523526857,58.784235136940545,57.847036869715375,60.36674650996151,58.66122370162977
8,27.187708750835004,22.33996924288073,23.61352067000099,27.97909079148021,61.32264529058116,59.3032871138432,60.98838130624189,60.89250727004589
9,20.70808283233133,14.959273588995275,20.48445713212679,22.1698769414506,59.25183700734803,56.87359025708956,60.40267655982463,58.57766593181353
10,27.120908483633933,22.805278273301987,28.67139552254149,28.0873947527598,58.784235136940545,58.168159007324924,59.98882290748231,59.24026090852534
11,22.84569138276553,17.338273207060652,28.041442508567975,24.104260609241393,59.58583834335337,57.75964215418925,59.69918177633702,58.75286241327935
12,27.521710086840343,23.480808060521568,31.390899403264743,28.726229233811353,61.2558450233801,60.000290854966686,61.40457658555486,60.67306248313733
13,22.37808951235805,17.07152693557109,27.749622150764562,23.756005659433246,58.85103540414162,56.18527185137208,60.169173690934215,58.34711290688402
14,29.058116232464933,25.547933649836384,29.134455295368678,30.013404336142436,59.986639946559784,57.83624017813283,60.482904157476995,59.156333510528356
15,24.04809619238477,19.35137445885687,31.001522959075835,25.382612369569348,61.18904475617902,60.35319007580415,61.562260472076844,61.4289193628091
16,30.394121576486306,28.017003072795994,30.846121069897624,31.505028147109748,63.059452237808955,62.05048643073434,62.58399640016164,62.86892166918124
17,25.78490313961256,19.962121218271996,29.421311149679518,27.0949318596241,61.32264529058116,59.538637146727666,61.616065074320716,60.54337798594537
18,30.794923179692717,28.30335228885541,30.490741594207112,31.852194183669592,64.06145624582498,63.01904929289217,63.55730894396233,63.87780429435607
19,28.189712758851037,23.78053867277487,32.843778602088975,29.503388160210275,60.988643954575814,59.71823571115943,61.900208762290035,60.42224146607852
20,31.462925851703403,28.807622502689867,32.6290921042547,32.5031119902646,63.126252505010015,61.56034890101626,63.32709654094286,62.49275710836086
21,28.65731462925852,25.31041071191523,32.44222621075483,29.76082976058133,61.05544422177689,60.124846616406046,61.660582080863456,60.81005435528974
22,29.191716766867064,25.23596321474863,33.81958045563882,30.360729902553906,62.859051436205746,61.25877515376491,62.38429801976289,62.146015974393535
23,29.392117568470272,26.48945293292988,33.73020299537474,30.5386317632712,60.25384101536406,59.581582353411,60.3861312475068,60.39862182298754
24,29.659318637274552,25.69323400807098,38.75642673492261,31.022060390377153,62.59185036740147,60.6184930411481,62.556586033441555,62.06767601263439
25,29.859719438877757,25.568260068852922,34.148057025896605,31.170742414341767,64.12825651302605,63.56847631899625,63.983055791288145,63.78739232523295
26,28.724114896459586,24.812265960220437,34.74428906553374,30.09995202666006,60.05344021376086,59.1473298386182,60.95165741216777,59.94988182695052
