epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,13.293253173012692,9.705970792122326,10.47205368445618,12.702879844520268,57.51503006012024,54.98360917121951,57.90904738483423,56.92781052960124
1,18.770875083500336,12.010279518319923,11.917072934722166,19.472481768043135,55.31062124248497,54.24090905969179,55.40182173703816,54.86134547043437
2,16.03206412825651,10.89794615683047,20.033675179039165,16.136839610881758,54.776219104876425,53.897308386229724,57.12910269599717,55.66718062270023
3,17.43486973947896,9.984005057316887,14.352222192295722,18.81986069872638,56.24582498329993,54.17751715096093,56.67999112209265,56.071604859215995
4,20.57448229792919,12.38695293918301,12.042150400359356,20.574369879037725,55.51102204408818,53.86936225161663,56.90117386985926,55.449186812967625
5,16.83366733466934,9.417191211313272,19.504737653539078,18.502323197119498,58.91783567134269,56.25942887567794,60.16431209366618,58.424100988812256
6,21.309285237140948,13.041923636567665,13.63652737018338,21.598607686222532,54.44221776887107,50.061484677570554,57.78464446985731,54.109205317046886
7,17.30126920507682,9.884370698109871,10.714340797047566,18.922020523526857,58.784235136940545,57.847036869715375,60.36674650996151,58.66122370162977
8,27.187708750835004,22.33996924288073,23.61352067000099,27.97909079148021,61.32264529058116,59.3032871138432,60.98838130624189,60.89250727004589
9,20.70808283233133,14.959273588995275,20.48445713212679,22.1698769414506,59.25183700734803,56.87359025708956,60.40267655982463,58.57766593181353
10,27.120908483633933,22.805278273301987,28.67139552254149,28.0873947527598,58.784235136940545,58.168159007324924,59.98882290748231,59.24026090852534
11,22.84569138276553,17.338273207060652,28.041442508567975,24.104260609241393,59.58583834335337,57.75964215418925,59.69918177633702,58.75286241327935
12,27.521710086840343,23.480808060521568,31.390899403264743,28.726229233811353,61.2558450233801,60.000290854966686,61.40457658555486,60.67306248313733
13,22.31128924515698,17.043664083397932,27.73007837902434,23.67726550195293,58.85103540414162,56.18527185137208,60.169173690934215,58.34711290688402
14,29.058116232464933,25.547933649836384,29.134455295368678,30.013404336142436,59.986639946559784,57.83624017813283,60.482904157476995,59.156333510528356
15,24.04809619238477,19.35137445885687,31.001522959075835,25.382612369569348,61.18904475617902,60.35319007580415,61.562260472076844,61.4289193628091
16,30.394121576486306,28.017003072795994,30.846121069897624,31.505028147109748,63.059452237808955,62.05048643073434,62.58399640016164,62.86892166918124
17,25.78490313961256,19.962121218271996,29.421311149679518,27.0949318596241,61.32264529058116,59.538637146727666,61.616065074320716,60.54337798594537
18,30.794923179692717,28.30335228885541,30.490741594207112,31.852194183669592,64.06145624582498,63.01904929289217,63.55730894396233,63.87780429435607
19,28.189712758851037,23.78053867277487,32.843778602088975,29.503388160210275,60.988643954575814,59.71823571115943,61.900208762290035,60.42224146607852
20,31.462925851703403,28.807622502689867,32.6290921042547,32.5031119902646,62.99265197060788,61.0610580346376,63.78563902666527,62.37130128329505
21,28.390113560454246,24.14566366558585,33.78077549461641,29.66681742786302,61.523046092184366,60.64526041054388,61.65008075166055,61.414485781354664
22,29.52571810287241,26.136044904610443,34.95758676125919,30.692400198723814,63.126252505010015,61.55340475826103,62.650732180587895,62.405824135803634
23,29.993319973279892,27.39724660079824,36.3769454031768,31.093508316055875,60.120240480961925,59.554088902398625,60.57242642749181,60.3264479402125
24,28.92451569806279,24.258557434961343,34.68997286668664,30.33242410288918,62.057448229792925,60.79471353444751,61.793278734517145,61.58930884382252
25,29.792919171676687,25.78026017017002,34.40428537890193,30.84197095779167,63.99465597862392,63.32786283648157,63.799958717472684,63.62091091074144
26,28.65731462925852,24.688660838954224,36.096211896117445,29.87152617494836,60.25384101536406,59.78005598918358,61.33048546111706,60.23770074780849
