epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,11.823647294589177,8.238919321351135,8.376144682988643,11.54775660128096,45.22378089512358,44.41719047301649,45.083091272877404,45.10512063597071
1,19.505678022712093,13.985261911492424,14.046311131762963,19.45111290766081,48.09619238476954,47.16477440191093,49.03419954777323,48.12217133255399
2,18.90447561790247,12.064295501719894,9.157800088560727,19.268360580860584,47.36138944555778,46.44346347803169,49.251647282042015,47.57718328913036
3,20.440881763527056,14.192251979748832,17.545644137726946,20.94221278452911,49.36539746158984,48.92259409829411,49.563677095524234,49.10674139992522
4,22.177688710754843,16.14681853226761,14.89254789354782,22.42972151554241,50.300601202404806,49.86586917102191,50.62760303223308,50.33935422757233
5,21.175684702738813,13.676109182453292,24.31708777370276,21.78669422583325,50.43420173680695,50.08273710318518,51.51194058580925,50.31915592852585
6,24.649298597194388,17.90613933497148,18.679583269779908,25.01292925602231,49.56579826319305,49.55071448935494,51.27679517635993,49.72955331617054
7,24.849699398797593,18.69805774765735,26.410819472448622,25.233499393523317,53.37341349365398,53.016764079049125,53.66445312686141,53.22033555695781
8,27.120908483633933,21.935550029539026,25.135723147421274,27.154391565493007,50.70140280561122,50.42206270305884,51.609360825727826,50.77220631524189
9,25.0501002004008,18.809165204745774,21.803570727111556,25.552211829343463,52.037408149632604,51.626322046719906,53.001153138833615,52.095976919382906
10,27.85571142284569,23.346665850100447,26.94157636674796,28.24179036871174,53.707414829659314,52.53888651805686,53.72471487830214,53.58757580518863
11,27.321309285237138,22.593322626227692,28.705160868485603,27.661863091061683,55.577822311289246,55.020132896775266,55.769284357322356,55.44486162600872
12,26.920507682030724,21.94327456386061,24.656388041110226,27.10969729420031,55.51102204408818,55.292312992573436,55.529202544693966,55.60363780744948
13,28.122912491649966,23.54300041123884,28.583740977481924,28.415882156099865,52.90581162324649,52.40550776660383,53.78440263075122,52.97455719482363
14,28.390113560454246,22.482161546711847,26.99337420818848,28.883201237682055,55.577822311289246,55.139857386415336,56.4303368516168,55.420958548075106
15,28.724114896459586,23.62468861694936,27.184268946126743,28.94498513336995,53.64061456245825,53.290019708526096,53.888045764543904,53.64571843459669
16,29.325317301269205,23.808828029997805,28.246679632169492,29.630173060494634,54.241816967267866,53.01985300664987,54.69557969750976,54.034542341816504
17,30.12692050768203,25.08109435037621,29.380752758009276,30.442639581808823,53.64061456245825,53.788470608650286,54.83526447254017,53.47162033124601
18,29.993319973279892,25.693582519159154,30.964023595978198,30.289019288052515,54.44221776887107,53.802876405807844,54.71096848750266,54.48423814226035
19,29.859719438877757,24.83627031408667,30.255722916435023,30.199287576653916,56.78022712090849,56.58835006045748,57.1003080733251,56.86255354739521
20,30.26052104208417,25.343620262251665,30.612175286919474,30.73791233260637,55.377421509686044,55.38767006363932,57.06873060245176,55.22134311716803
21,29.392117568470272,23.98566321275047,33.54868256367507,29.56525601286419,54.30861723446894,53.20690908674868,55.043173146028515,54.30714503160129
22,30.72812291249165,25.78680906189803,32.702116972714705,30.89670479365237,56.24582498329993,56.17183174060886,56.77199227667029,56.125770537037425
23,30.861723446893784,26.551476206795943,32.49182414439896,30.89859360669603,57.11422845691383,56.91855544493261,57.730188518713966,57.00079420416213
24,29.993319973279892,25.03708378956102,31.245121753561367,30.06083935449184,55.177020708082836,54.77474722781284,56.57373890792571,55.120719542577746
25,31.19572478289913,26.77880476149409,32.41615428415031,31.42702286773241,55.845023380093515,56.01973445177115,56.938883223205075,55.968059260069005
26,32.66533066132264,28.763209775284583,34.15993862121776,32.74748249474994,56.91382765531062,56.9505651492312,58.23296083171351,56.95582095210649
27,32.39812959251837,28.285820194415106,33.09033919568451,32.4403485168449,56.84702738810955,56.74258980085867,57.604807655630474,56.73937392542857
28,33.46693386773547,29.069535954294643,33.50904092777507,33.447764160049296,56.980627922511694,56.710271685657645,57.52002731565403,56.95229275671533
29,33.66733466933868,29.52280490520178,33.298648448980856,33.69025794950051,55.444221776887105,55.17031098404368,57.060824650917375,55.22694919663331
30,33.4001336005344,29.331637915203647,38.936888625905446,33.551871166018785,56.1122244488978,56.13002202226092,57.02100978186914,55.98543996142558
31,32.93253173012692,29.211232909876784,35.21822109309854,32.89910992157097,57.11422845691383,57.20960148097115,58.00932695184308,57.0818067537268
32,33.199732798931194,28.659303757199517,37.70866188631456,33.42053928974227,57.44822979291917,57.16153999985074,57.371740720403174,57.37341129061002
33,35.938543754175015,32.5291378770231,35.518445158347575,35.96337146126058,56.51302605210421,55.42176250251136,57.56286445886213,56.1553216360546
34,33.93453573814295,30.239067671535047,40.35594552122602,33.84868419651583,56.1122244488978,55.80321163230926,57.600115344963164,56.29047261061119
35,34.736138944555776,31.384050661668294,44.29437012018653,34.83156679971632,56.64662658650634,55.96442493356072,56.68659050513982,56.74822920209508
36,35.671342685370746,31.92406808463824,35.734796463473835,35.8281394601162,57.64863059452237,57.313228882077524,57.961711072376254,57.59589470673622
37,33.93453573814295,30.027304389919752,42.39584859077577,33.626892244106784,55.577822311289246,55.247358815310776,56.72503611517602,55.50140534636828
38,35.00334001336005,31.783097915396073,42.26481353641051,35.101918778539655,58.249832999332,58.12026413544197,59.80054222286895,58.09515278209665
39,34.80293921175684,32.29854586592169,38.111886004065866,34.66728682438697,55.91182364729459,55.12443134354375,56.392663959632515,55.96675236111677
40,35.07014028056113,31.7452731296813,39.104468999028974,35.147804989822475,58.116232464929865,58.10388583237591,58.66033211139665,58.1236728568354
41,36.539746158984634,33.43898205595076,39.11794240480807,36.46871030016967,56.1122244488978,56.2100450364983,57.15261923744085,56.12535467148694
42,36.33934535738143,32.74569061602469,41.65197838118495,36.43993179543115,55.377421509686044,55.22744154825768,56.09785567475964,55.545684395841135
43,35.80494321977288,32.60622411379296,41.90854799095449,35.82292266853577,58.04943219772879,58.22159011860811,58.66109866970175,58.04920554129802
44,35.80494321977288,32.61755771831994,39.136204111878484,35.733930450631654,57.31462925851704,57.111287607756076,57.552961603187434,57.26542712193615
45,36.4061456245825,33.868713776443634,40.7330080844946,36.44564036907497,57.44822979291917,56.460558502348455,57.36703502164671,57.47025838111123
46,37.27454909819639,34.4685782451279,39.0592289016658,37.28053177985328,55.444221776887105,55.41663888706289,56.05145434151536,55.51465103779132
47,38.276553106212425,35.96906424709792,41.67634562801267,38.38988730983225,57.98263193052772,57.37171352066805,58.93900885369525,58.057693598747306
48,36.87374749498998,34.745390854247695,40.446519009118624,36.90746804148471,54.97661990647963,54.46968865831137,55.427651615096394,54.938407268012604
49,37.07414829659319,34.530372927264786,40.685301566811916,37.07988907747741,57.71543086172345,57.28438778418059,58.04322946073284,57.642871251326376
