round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,25.5177,21.6507,21.7125,25.1065,0,0.187667,0.011785,2.671094,0.192001,0.709201,0.037303,0.001915,0.00012,0.001141,8.2e-05,0.016143,0.000849,0.826637,0.569661,0.557718,7.3132,16.2162,23.5294,2.525
2,0.00999014,26.5865,24.015,23.669,26.1288,0,0.132542,0.014619,0.643185,0.052634,0.340923,0.036888,0.001353,0.000149,0.000275,2.2e-05,0.00776,0.00084,0.914264,0.410583,0.169772,7.8926,16.1074,24.0,2.5831
3,0.00996061,25.7181,21.4985,22.9151,25.731,0,0.130343,0.013637,0.602058,0.04806,0.357682,0.028227,0.00133,0.000139,0.000257,2.1e-05,0.008142,0.000643,0.927328,0.333804,0.094539,5.6667,19.3333,25.0,1.8782
4,0.00991152,27.9893,25.0784,24.6707,27.4022,0,0.133366,0.022791,0.610286,0.033225,0.379304,0.031156,0.001361,0.000233,0.000261,1.4e-05,0.008634,0.000709,0.914883,0.262001,0.068843,5.9131,20.2614,26.1745,1.8203
5,0.00984307,29.3921,27.9687,28.055,29.212,0,0.124268,0.015572,0.646393,0.034222,0.380548,0.028042,0.001268,0.000159,0.000276,1.5e-05,0.008662,0.000638,0.919297,0.234478,0.025344,13.0991,19.3333,32.4324,3.5304
6,0.00975553,31.3961,30.9484,31.4209,31.1635,0,0.121037,0.013353,0.663198,0.046074,0.385683,0.031304,0.001235,0.000136,0.000283,2e-05,0.008779,0.000713,0.904805,0.222845,0.042069,11.7297,18.0,29.7297,4.0615
7,0.00964923,31.9305,30.3007,32.7084,31.8622,0,0.116606,0.00743,0.697603,0.034947,0.394106,0.020816,0.00119,7.6e-05,0.000298,1.5e-05,0.008971,0.000474,0.898671,0.239427,-0.005678,12.9739,20.1342,33.1081,3.4373
8,0.00952461,33.0661,31.386,32.8152,32.956,0,0.110905,0.012398,0.735994,0.037403,0.426314,0.029657,0.001132,0.000127,0.000314,1.6e-05,0.009704,0.000675,0.88148,0.210032,0.017024,10.6667,20.6667,31.3333,3.7454
9,0.00938215,34.0681,33.068,33.8361,34.0324,0,0.107591,0.013933,0.752986,0.031365,0.410195,0.022047,0.001098,0.000142,0.000322,1.3e-05,0.009337,0.000502,0.870773,0.197588,0.036818,9.5526,24.0,33.5526,3.0095
10,0.00922242,33.8677,32.6302,33.7697,33.6514,0,0.115368,0.013779,0.785179,0.05211,0.424393,0.031319,0.001177,0.000141,0.000336,2.2e-05,0.00966,0.000713,0.8761,0.204278,0.015343,10.8108,20.9459,31.7568,3.7738
11,0.00904604,34.7361,33.3536,35.3066,34.425,0,0.113614,0.012768,0.803493,0.059654,0.432,0.029405,0.00116,0.00013,0.000343,2.5e-05,0.009833,0.000669,0.871078,0.182214,0.026606,18.5135,20.0,38.5135,4.9751
12,0.00885371,35.1369,34.9614,36.148,34.9235,0,0.11338,0.01943,0.827605,0.044176,0.443367,0.029406,0.001157,0.000198,0.000354,1.9e-05,0.010092,0.000669,0.858631,0.172208,0.014388,11.8378,26.0,37.8378,2.9869
13,0.0086462,35.9385,35.0348,36.516,35.7658,0,0.109333,0.012383,0.837814,0.055532,0.439716,0.019982,0.001116,0.000126,0.000358,2.4e-05,0.010009,0.000455,0.849818,0.147627,-0.008247,10.0361,25.4902,35.5263,2.907
