round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,res9,cifar10,0.1,0,base.2,0.984391
1,1,res9,cifar10,0.1,1,base.6,0.960683
1,1,res9,cifar10,0.1,2,base.7,0.915544
1,1,res9,cifar10,0.1,3,base.11,0.873311
1,1,res9,cifar10,0.1,4,base.15,0.848197
1,1,res9,cifar10,0.1,5,base.16,0.830775
1,1,res9,cifar10,0.1,6,base.17,0.631368
1,1,res9,cifar10,0.1,7,base.18,0.631368
1,1,res9,cifar10,0.1,8,classifier,0.588889
1,0,res9,cifar10,0.1,0,base.2,0.976607
1,0,res9,cifar10,0.1,1,base.6,0.972863
1,0,res9,cifar10,0.1,2,base.7,0.950457
1,0,res9,cifar10,0.1,3,base.11,0.923138
1,0,res9,cifar10,0.1,4,base.15,0.900210
1,0,res9,cifar10,0.1,5,base.16,0.893036
1,0,res9,cifar10,0.1,6,base.17,0.798557
1,0,res9,cifar10,0.1,7,base.18,0.798557
1,0,res9,cifar10,0.1,8,classifier,0.538632
1,4,res9,cifar10,0.1,0,base.2,0.982249
1,4,res9,cifar10,0.1,1,base.6,0.966808
1,4,res9,cifar10,0.1,2,base.7,0.960640
1,4,res9,cifar10,0.1,3,base.11,0.934786
1,4,res9,cifar10,0.1,4,base.15,0.897001
1,4,res9,cifar10,0.1,5,base.16,0.860791
1,4,res9,cifar10,0.1,6,base.17,0.628465
1,4,res9,cifar10,0.1,7,base.18,0.628465
1,4,res9,cifar10,0.1,8,classifier,0.499804
1,9,res9,cifar10,0.1,0,base.2,0.970096
1,9,res9,cifar10,0.1,1,base.6,0.944234
1,9,res9,cifar10,0.1,2,base.7,0.912160
1,9,res9,cifar10,0.1,3,base.11,0.880740
1,9,res9,cifar10,0.1,4,base.15,0.831009
1,9,res9,cifar10,0.1,5,base.16,0.802279
1,9,res9,cifar10,0.1,6,base.17,0.719614
1,9,res9,cifar10,0.1,7,base.18,0.719614
1,9,res9,cifar10,0.1,8,classifier,0.490063
1,6,res9,cifar10,0.1,0,base.2,0.969531
1,6,res9,cifar10,0.1,1,base.6,0.918412
1,6,res9,cifar10,0.1,2,base.7,0.840421
1,6,res9,cifar10,0.1,3,base.11,0.792090
1,6,res9,cifar10,0.1,4,base.15,0.750686
1,6,res9,cifar10,0.1,5,base.16,0.722358
1,6,res9,cifar10,0.1,6,base.17,0.575226
1,6,res9,cifar10,0.1,7,base.18,0.575226
1,6,res9,cifar10,0.1,8,classifier,0.539876
1,5,res9,cifar10,0.1,0,base.2,0.958670
1,5,res9,cifar10,0.1,1,base.6,0.939684
1,5,res9,cifar10,0.1,2,base.7,0.906925
1,5,res9,cifar10,0.1,3,base.11,0.870973
1,5,res9,cifar10,0.1,4,base.15,0.823595
1,5,res9,cifar10,0.1,5,base.16,0.814282
1,5,res9,cifar10,0.1,6,base.17,0.623622
1,5,res9,cifar10,0.1,7,base.18,0.623622
1,5,res9,cifar10,0.1,8,classifier,0.461856
1,8,res9,cifar10,0.1,0,base.2,0.980480
1,8,res9,cifar10,0.1,1,base.6,0.952225
1,8,res9,cifar10,0.1,2,base.7,0.924301
1,8,res9,cifar10,0.1,3,base.11,0.892582
1,8,res9,cifar10,0.1,4,base.15,0.846257
1,8,res9,cifar10,0.1,5,base.16,0.826195
1,8,res9,cifar10,0.1,6,base.17,0.590532
1,8,res9,cifar10,0.1,7,base.18,0.590532
1,8,res9,cifar10,0.1,8,classifier,0.571004
1,2,res9,cifar10,0.1,0,base.2,0.977007
1,2,res9,cifar10,0.1,1,base.6,0.940114
1,2,res9,cifar10,0.1,2,base.7,0.891566
1,2,res9,cifar10,0.1,3,base.11,0.807252
