round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,res9,cifar10,0.3,0,base.2,0.996990
1,0,1,res9,cifar10,0.3,1,base.6,0.963085
1,0,1,res9,cifar10,0.3,2,base.7,0.890399
1,0,1,res9,cifar10,0.3,3,base.11,0.754829
1,0,1,res9,cifar10,0.3,4,base.15,0.740441
1,0,1,res9,cifar10,0.3,5,base.16,0.574255
1,0,1,res9,cifar10,0.3,6,base.17,0.574255
1,0,1,res9,cifar10,0.3,7,base.18,0.574255
1,0,1,res9,cifar10,0.3,8,classifier,0.495705
1,0,2,res9,cifar10,0.3,0,base.2,0.991293
1,0,2,res9,cifar10,0.3,1,base.6,0.904797
1,0,2,res9,cifar10,0.3,2,base.7,0.770689
1,0,2,res9,cifar10,0.3,3,base.11,0.712464
1,0,2,res9,cifar10,0.3,4,base.15,0.685986
1,0,2,res9,cifar10,0.3,5,base.16,0.708427
1,0,2,res9,cifar10,0.3,6,base.17,0.708427
1,0,2,res9,cifar10,0.3,7,base.18,0.708427
1,0,2,res9,cifar10,0.3,8,classifier,0.523661
1,0,3,res9,cifar10,0.3,0,base.2,0.990089
1,0,3,res9,cifar10,0.3,1,base.6,0.960730
1,0,3,res9,cifar10,0.3,2,base.7,0.879783
1,0,3,res9,cifar10,0.3,3,base.11,0.745671
1,0,3,res9,cifar10,0.3,4,base.15,0.558892
1,0,3,res9,cifar10,0.3,5,base.16,0.435601
1,0,3,res9,cifar10,0.3,6,base.17,0.435601
1,0,3,res9,cifar10,0.3,7,base.18,0.435601
1,0,3,res9,cifar10,0.3,8,classifier,0.343596
1,0,4,res9,cifar10,0.3,0,base.2,0.992228
1,0,4,res9,cifar10,0.3,1,base.6,0.912687
1,0,4,res9,cifar10,0.3,2,base.7,0.858424
1,0,4,res9,cifar10,0.3,3,base.11,0.884113
1,0,4,res9,cifar10,0.3,4,base.15,0.938859
1,0,4,res9,cifar10,0.3,5,base.16,0.938673
1,0,4,res9,cifar10,0.3,6,base.17,0.938673
1,0,4,res9,cifar10,0.3,7,base.18,0.938673
1,0,4,res9,cifar10,0.3,8,classifier,0.877177
1,0,5,res9,cifar10,0.3,0,base.2,0.991820
1,0,5,res9,cifar10,0.3,1,base.6,0.973538
1,0,5,res9,cifar10,0.3,2,base.7,0.938454
1,0,5,res9,cifar10,0.3,3,base.11,0.878886
1,0,5,res9,cifar10,0.3,4,base.15,0.884402
1,0,5,res9,cifar10,0.3,5,base.16,0.863882
1,0,5,res9,cifar10,0.3,6,base.17,0.863882
1,0,5,res9,cifar10,0.3,7,base.18,0.863882
1,0,5,res9,cifar10,0.3,8,classifier,0.774238
1,0,6,res9,cifar10,0.3,0,base.2,0.978539
1,0,6,res9,cifar10,0.3,1,base.6,0.896569
1,0,6,res9,cifar10,0.3,2,base.7,0.798564
1,0,6,res9,cifar10,0.3,3,base.11,0.730291
1,0,6,res9,cifar10,0.3,4,base.15,0.762828
1,0,6,res9,cifar10,0.3,5,base.16,0.725558
1,0,6,res9,cifar10,0.3,6,base.17,0.725558
1,0,6,res9,cifar10,0.3,7,base.18,0.725558
1,0,6,res9,cifar10,0.3,8,classifier,0.602442
1,0,7,res9,cifar10,0.3,0,base.2,0.993396
1,0,7,res9,cifar10,0.3,1,base.6,0.919920
1,0,7,res9,cifar10,0.3,2,base.7,0.765452
1,0,7,res9,cifar10,0.3,3,base.11,0.577116
1,0,7,res9,cifar10,0.3,4,base.15,0.624617
1,0,7,res9,cifar10,0.3,5,base.16,0.692221
1,0,7,res9,cifar10,0.3,6,base.17,0.692221
1,0,7,res9,cifar10,0.3,7,base.18,0.692221
1,0,7,res9,cifar10,0.3,8,classifier,0.638849
1,0,8,res9,cifar10,0.3,0,base.2,0.987570
1,0,8,res9,cifar10,0.3,1,base.6,0.934365
1,0,8,res9,cifar10,0.3,2,base.7,0.696854
1,0,8,res9,cifar10,0.3,3,base.11,0.451172
1,0,8,res9,cifar10,0.3,4,base.15,0.339200
1,0,8,res9,cifar10,0.3,5,base.16,0.296822
