epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,10.420841683366733,2.286906229259505,1.7617264919621227,9.878317680685994,50.50100200400801,49.07878109067269,50.64882290038496,50.55924668563095
1,12.090848363393453,5.191259241845594,11.861107642357641,12.136822384956714,50.835003340013365,50.19294766415617,51.73574962156702,50.77216954489262
2,17.034068136272545,9.493627949411866,10.606509095928873,16.557714639804193,51.56980627922512,49.765915696052375,54.9516735398188,51.19389952786372
3,18.50367401469606,11.912592383996834,20.687341676349522,18.23662026087399,54.776219104876425,53.36195361642471,56.142918070156945,54.74622934683232
4,18.37007348029392,12.623457594362385,24.269566608253207,18.359444962056905,54.642618570474276,53.090139403390154,55.78955380710464,54.4082641090071
5,21.442885771543086,16.687002191292716,27.51225663638327,21.499462862606823,56.78022712090849,55.36183744766813,57.603884200409894,56.691159979178195
6,24.916499665998664,20.3734310148978,40.77340227545336,24.792675988901873,57.11422845691383,56.212050568202955,57.49282965810878,56.95671727062048
7,26.920507682030724,21.98417817904617,35.01953901875544,26.66585189517841,54.642618570474276,54.40321485628073,55.5298029606836,54.49739276334733
8,25.31730126920508,19.499092985193034,38.067067920934385,24.92831298523069,55.177020708082836,54.994676009683,55.84998132827668,55.14653698668306
9,27.521710086840343,21.6900705734413,41.05004235703412,27.07173269101467,58.784235136940545,57.96356817542731,59.58029127384981,58.588453276806376
10,30.72812291249165,26.663129929455938,37.54533463518146,30.486242009373388,58.717434869739485,58.05322667187097,59.26948728560922,58.81154043526248
11,32.93253173012692,29.005650288940032,39.33690341929027,32.73596553819474,54.90981963927856,53.45686018831757,57.54784158710737,54.714507025872926
12,35.938543754175015,32.99250553314087,39.982007551998734,35.88676790710654,57.581830327321306,56.1442416363369,58.503725502396854,57.767581478763894
13,33.66733466933868,30.168763585979207,38.39820347724172,33.54484711251836,58.65063460253841,58.364404917590775,58.62075711248866,58.85923673426083
14,36.87374749498998,33.861141188321284,43.623075422927215,36.80581107213833,58.784235136940545,58.626867617229195,60.15156680602385,58.631638310562295
15,33.734134936539746,31.382318645401853,43.069994955986544,33.93743691257047,58.4502338009352,57.730398503067626,58.653856581541696,58.48576920527433
16,39.278557114228455,37.33907120058076,43.38443301157668,39.20681514795109,57.71543086172345,57.338329793706656,58.5131237816923,57.93927809339353
17,42.35136940547763,40.62375556466195,47.935655546057845,42.555145620391386,58.98463593854375,58.26361306883221,59.57042180032577,58.90218361160967
18,42.28456913827655,40.56926189444604,48.73832840418336,42.24215726733592,56.91382765531062,56.226041382264135,58.66966284930931,56.84064894526423
19,39.612558450233806,38.74703685785465,46.705266869882216,39.8649116574911,58.38343353373413,57.88306628809606,60.59748314550342,58.67682071988357
20,45.15698062792251,43.06556961491461,46.493449280247376,45.47605648585863,60.120240480961925,59.625932814604866,61.114809418289795,60.18472114079327
21,45.69138276553106,44.56598613869069,50.27704807077759,45.755813388679584,59.45223780895124,59.02624670317829,60.438408169483615,59.4569148187186
22,44.28857715430862,42.66349136173398,49.19049751785597,44.35226370596182,61.79024716098864,61.927684052147356,62.887118898018215,61.98374868264089
23,44.7561790247161,43.310495529138244,50.90346856206691,44.806761982945176,59.318637274549104,59.23687139626376,61.18858613989189,59.30801828560528
24,47.09418837675351,45.25701556843886,50.985280706137814,46.998977598250725,60.120240480961925,60.28380060876643,61.26001135865874,60.332519789652295
25,50.43420173680695,48.51684147219122,51.777967493153156,50.450398490517145,60.988643954575814,59.72995512826083,61.95117448145222,60.88970913765272
26,49.09819639278557,47.35514390973433,54.77209592049477,48.86370534627059,62.99265197060788,62.53355191325956,63.74172052706613,63.00162497267516
27,51.56980627922512,50.968432082120586,53.97629878323862,51.639063582251374,59.85303941215765,59.75559899167694,62.80271357995837,59.5010967992595
28,50.233800935203746,48.26118807166978,54.251711326435434,50.11164198656842,64.12825651302605,63.761074302714725,65.10193827246826,64.22197017520507
29,51.703406813627254,49.98692919845228,54.02091078714969,51.86634342029382,59.986639946559784,59.82316194393631,61.007391869695105,59.84834933771344
30,50.76820307281229,49.71500748255735,54.50062281461978,50.75100244390127,59.25183700734803,58.572468520644996,61.79670616280538,59.28984182874781
31,51.1690046760187,50.492700942121736,56.44537608542056,51.2423770690073,62.925851703406806,62.55042838952476,65.17550387358199,63.15029562458382
32,52.037408149632604,49.75911037374482,53.69504362674464,52.048761808348964,65.39746158984636,65.09558777970415,66.25711460103318,65.44879499501357
33,53.3066132264529,52.165407475118265,54.749804037791314,53.51157394160884,65.19706078824315,65.07950618219793,65.56592623958156,65.16519709489422
34,53.707414829659314,52.460871951446656,56.23571666817491,53.838827599863926,61.923847695390776,61.41990007318753,63.39554505607386,62.28600562944585
35,52.17100868403474,50.67900272334668,54.8553044557459,52.451518029327524,64.4622578490314,64.35515903119476,65.46662413580684,64.62242147562519
36,52.77221108884436,51.4499745750985,57.359551616413526,52.86553801231524,62.39144956579826,62.168673663376836,65.44419494523383,62.26900894994959
37,51.63660654642619,50.278643273908266,57.25719972348996,51.33834660847312,65.26386105544421,65.48290672577815,66.84108537340182,65.29775161940721
38,53.9746158984636,53.38417437821633,58.05479507556501,54.1179795996303,66.26586506346025,65.99871717127144,67.13060431526692,66.0356294698839
39,53.77421509686039,52.94514293130108,58.05815618302663,53.78755930026298,65.59786239144957,64.96040247051049,66.92413926865713,65.50344257795604
40,54.776219104876425,54.748426215613456,59.55272725010347,54.499057931101305,64.99665998663995,64.85313171831343,65.70683082467144,64.88112614518926
41,55.978623914495664,55.451447551311425,58.713301177369615,56.02253142056013,62.525050100200396,61.84281827949813,64.22216970368193,62.88033038159202
42,54.44221776887107,52.35845466649879,56.09715198928617,54.56364383878156,66.66666666666666,66.41737701364107,66.65622089760525,66.85641558956299
43,56.71342685370742,55.78779673778717,60.123995791253805,56.96780097218041,64.72945891783567,64.87977935492019,66.5643606856008,65.04274186777818
44,56.045424181696724,55.018317452510935,58.56632027625167,56.28492686716729,66.86706746826987,66.80413185605933,68.2659700384912,66.7951733036484
45,57.047428189712754,56.85655472675314,59.560669448668236,57.11975489411786,65.39746158984636,65.18262337225296,66.6176697646758,65.47162915027229
46,56.91382765531062,56.57105059712373,58.77108315239432,57.087890330006786,64.12825651302605,64.20232293918258,64.84579590453994,64.31109374344592
47,56.78022712090849,56.237041020296516,59.22912036690722,56.80917965610143,62.658650634602544,62.50986757246275,64.30662615386728,62.72783313609423
48,54.642618570474276,53.51998461762674,58.27654581080183,54.81721135345287,62.59185036740147,62.630642953845324,64.23803468636753,62.682474460242176
49,56.1122244488978,55.365785752242104,59.24595099914114,56.049671564471936,65.93186372745491,65.70471483854928,67.26007241293452,65.94078084851176
