round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,15.5749,7.3633,5.6067,15.9527,0,0.127988,0.037474,2.285459,0.179585,0.704433,0.130432,0.001912,0.00056,0.000892,7e-05,0.009835,0.001821,0.750422,0.220718,0.277002,28.098,24.812,52.9101,9.393
2,0.00999014,21.8583,14.9156,16.3853,22.0749,0,0.089009,0.03405,1.328226,0.302693,0.555512,0.089795,0.00133,0.000509,0.000518,0.000118,0.007756,0.001254,0.632437,0.199858,0.20824,25.291,25.1852,50.4762,7.8736
3,0.00996061,22.1257,17.456,19.4164,22.1463,0,0.093506,0.029613,1.16434,0.265887,0.52747,0.06737,0.001397,0.000442,0.000454,0.000104,0.007364,0.000941,0.599584,0.140949,0.129192,30.7982,23.2558,54.0541,10.0343
4,0.00991152,26.0695,22.5936,33.3109,26.425,0,0.09008,0.030404,1.12592,0.225185,0.504567,0.074874,0.001346,0.000454,0.000439,8.8e-05,0.007045,0.001045,0.543366,0.108827,0.064512,19.2147,31.5789,50.7937,6.9757
5,0.00984307,28.877,24.7186,30.0643,29.0756,0,0.09117,0.029814,1.114596,0.208867,0.500277,0.069098,0.001362,0.000445,0.000435,8.2e-05,0.006985,0.000965,0.520305,0.090484,0.04492,23.4848,33.3333,56.8182,7.8449
6,0.00975553,29.746,26.1311,43.4923,30.135,0,0.094781,0.031655,1.136556,0.211452,0.500167,0.077706,0.001416,0.000473,0.000444,8.3e-05,0.006983,0.001085,0.473712,0.080069,0.038268,23.6837,30.3704,54.0541,9.0446
7,0.00964923,33.4225,29.9209,42.9117,33.7025,0,0.100143,0.034705,1.142629,0.185695,0.493503,0.059782,0.001496,0.000519,0.000446,7.2e-05,0.00689,0.000835,0.497325,0.084396,0.03729,26.2766,31.3953,57.672,8.0527
8,0.00952461,35.762,33.2855,42.8271,35.9323,0,0.103197,0.035749,1.19073,0.195521,0.509611,0.069402,0.001542,0.000534,0.000465,7.6e-05,0.007115,0.000969,0.454269,0.077151,0.034377,23.5354,35.5556,59.0909,7.7005
9,0.00938215,33.8904,31.4997,43.8636,34.5033,0,0.103529,0.035081,1.179175,0.168794,0.503789,0.071447,0.001547,0.000524,0.00046,6.6e-05,0.007034,0.000998,0.449192,0.071814,0.022785,30.9764,29.6296,60.6061,8.671
10,0.00922242,36.6979,35.3683,47.4862,37.1532,0,0.104571,0.033058,1.229162,0.188921,0.495579,0.064437,0.001562,0.000494,0.00048,7.4e-05,0.006919,0.0009,0.410143,0.062064,0.036988,18.2011,36.2963,54.4974,6.4175
