round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vig_tiny,cifar10,0.3,0,_vig_stem,0.658320
1,1,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.684259
1,1,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.694758
1,1,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.663988
1,1,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.666245
1,1,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.655480
1,1,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.665496
1,1,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.577185
1,1,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.584734
1,1,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.572971
1,1,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.531054
1,1,vig_tiny,cifar10,0.3,11,_vig_blocks.10,0.566280
1,1,vig_tiny,cifar10,0.3,12,_vig_blocks.11,0.552980
1,1,vig_tiny,cifar10,0.3,13,classifier,0.286113
1,0,vig_tiny,cifar10,0.3,0,_vig_stem,0.872352
1,0,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.847504
1,0,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.818454
1,0,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.771557
1,0,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.762605
1,0,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.735468
1,0,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.745014
1,0,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.652410
1,0,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.654473
1,0,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.640980
1,0,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.595427
1,0,vig_tiny,cifar10,0.3,11,_vig_blocks.10,0.627204
1,0,vig_tiny,cifar10,0.3,12,_vig_blocks.11,0.609274
1,0,vig_tiny,cifar10,0.3,13,classifier,0.349695
1,4,vig_tiny,cifar10,0.3,0,_vig_stem,0.840952
1,4,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.801317
1,4,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.774422
1,4,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.737628
1,4,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.707355
1,4,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.677849
1,4,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.672942
1,4,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.596630
1,4,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.591747
1,4,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.586185
1,4,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.542924
1,4,vig_tiny,cifar10,0.3,11,_vig_blocks.10,0.567974
1,4,vig_tiny,cifar10,0.3,12,_vig_blocks.11,0.534566
1,4,vig_tiny,cifar10,0.3,13,classifier,0.278979
1,9,vig_tiny,cifar10,0.3,0,_vig_stem,0.812919
1,9,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.763245
1,9,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.730950
1,9,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.688130
1,9,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.685631
1,9,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.672018
1,9,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.678981
1,9,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.591331
1,9,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.588051
1,9,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.571957
1,9,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.525829
1,9,vig_tiny,cifar10,0.3,11,_vig_blocks.10,0.553752
1,9,vig_tiny,cifar10,0.3,12,_vig_blocks.11,0.537305
1,9,vig_tiny,cifar10,0.3,13,classifier,0.113138
1,6,vig_tiny,cifar10,0.3,0,_vig_stem,0.697362
1,6,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.676872
1,6,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.653944
1,6,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.620401
1,6,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.631257
1,6,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.620891
1,6,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.630886
1,6,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.541940
1,6,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.550537
1,6,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.540332
1,6,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.501564
1,6,vig_tiny,cifar10,0.3,11,_vig_blocks.10,0.535804
1,6,vig_tiny,cifar10,0.3,12,_vig_blocks.11,0.525635
1,6,vig_tiny,cifar10,0.3,13,classifier,0.157651
1,5,vig_tiny,cifar10,0.3,0,_vig_stem,0.901935
1,5,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.894923
1,5,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.856937
1,5,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.812278
1,5,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.770850
1,5,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.743102
1,5,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.758052
1,5,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.671148
1,5,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.663667
1,5,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.646390
1,5,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.591415
1,5,vig_tiny,cifar10,0.3,11,_vig_blocks.10,0.614950
1,5,vig_tiny,cifar10,0.3,12,_vig_blocks.11,0.593171
1,5,vig_tiny,cifar10,0.3,13,classifier,0.237896
1,8,vig_tiny,cifar10,0.3,0,_vig_stem,0.902170
1,8,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.888851
1,8,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.863976
1,8,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.821920
1,8,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.800132
1,8,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.770372
1,8,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.772609
1,8,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.685771
1,8,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.686587
1,8,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.678086
1,8,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.626531
1,8,vig_tiny,cifar10,0.3,11,_vig_blocks.10,0.658376
1,8,vig_tiny,cifar10,0.3,12,_vig_blocks.11,0.633583
1,8,vig_tiny,cifar10,0.3,13,classifier,0.544390
1,2,vig_tiny,cifar10,0.3,0,_vig_stem,0.866901
1,2,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.808627
1,2,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.786460
1,2,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.740756
1,2,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.741398
1,2,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.715782
1,2,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.717624
1,2,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.630427
1,2,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.634088
1,2,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.621709
1,2,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.572929
1,2,vig_tiny,cifar10,0.3,11,_vig_blocks.10,0.601274
1,2,vig_tiny,cifar10,0.3,12,_vig_blocks.11,0.581685
1,2,vig_tiny,cifar10,0.3,13,classifier,0.162220
1,3,vig_tiny,cifar10,0.3,0,_vig_stem,0.930099
1,3,vig_tiny,cifar10,0.3,1,_vig_blocks.0,0.910683
1,3,vig_tiny,cifar10,0.3,2,_vig_blocks.1,0.878682
1,3,vig_tiny,cifar10,0.3,3,_vig_blocks.2,0.838320
1,3,vig_tiny,cifar10,0.3,4,_vig_blocks.3,0.799369
1,3,vig_tiny,cifar10,0.3,5,_vig_blocks.4,0.770808
1,3,vig_tiny,cifar10,0.3,6,_vig_blocks.5,0.779481
1,3,vig_tiny,cifar10,0.3,7,_vig_blocks.6,0.705704
1,3,vig_tiny,cifar10,0.3,8,_vig_blocks.7,0.699875
1,3,vig_tiny,cifar10,0.3,9,_vig_blocks.8,0.692019
1,3,vig_tiny,cifar10,0.3,10,_vig_blocks.9,0.642444
