round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vig_tiny,cifar10,1000.0,0,_vig_stem,0.856677
1,0,1,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.810966
1,0,1,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.779841
1,0,1,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.773373
1,0,1,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.763555
1,0,1,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.733394
1,0,1,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.731998
1,0,1,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.722970
1,0,1,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.708523
1,0,1,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.721555
1,0,1,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.714231
1,0,1,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.715518
1,0,1,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.697780
1,0,1,vig_tiny,cifar10,1000.0,13,classifier,0.521312
1,0,2,vig_tiny,cifar10,1000.0,0,_vig_stem,0.687649
1,0,2,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.679908
1,0,2,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.655641
1,0,2,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.634544
1,0,2,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.635896
1,0,2,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.631200
1,0,2,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.616567
1,0,2,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.626717
1,0,2,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.618744
1,0,2,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.628373
1,0,2,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.632065
1,0,2,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.619347
1,0,2,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.600083
1,0,2,vig_tiny,cifar10,1000.0,13,classifier,0.306785
1,0,3,vig_tiny,cifar10,1000.0,0,_vig_stem,0.872691
1,0,3,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.829511
1,0,3,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.792566
1,0,3,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.774494
1,0,3,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.743481
1,0,3,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.716071
1,0,3,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.715999
1,0,3,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.745446
1,0,3,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.744508
1,0,3,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.756616
1,0,3,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.725514
1,0,3,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.728884
1,0,3,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.730463
1,0,3,vig_tiny,cifar10,1000.0,13,classifier,0.566050
1,0,4,vig_tiny,cifar10,1000.0,0,_vig_stem,0.860395
1,0,4,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.838396
1,0,4,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.820085
1,0,4,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.830434
1,0,4,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.838504
1,0,4,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.814285
1,0,4,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.813983
1,0,4,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.822155
1,0,4,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.816420
1,0,4,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.810571
1,0,4,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.792297
1,0,4,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.801375
1,0,4,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.797697
1,0,4,vig_tiny,cifar10,1000.0,13,classifier,0.603951
1,0,5,vig_tiny,cifar10,1000.0,0,_vig_stem,0.779929
1,0,5,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.770965
1,0,5,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.751337
1,0,5,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.744736
1,0,5,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.720755
1,0,5,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.713155
1,0,5,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.696569
1,0,5,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.713331
1,0,5,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.711452
1,0,5,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.712705
1,0,5,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.700572
1,0,5,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.691293
1,0,5,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.690125
1,0,5,vig_tiny,cifar10,1000.0,13,classifier,0.384073
1,0,6,vig_tiny,cifar10,1000.0,0,_vig_stem,0.878382
1,0,6,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.808447
1,0,6,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.779709
1,0,6,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.793196
1,0,6,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.770696
1,0,6,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.750076
1,0,6,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.756870
1,0,6,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.759675
1,0,6,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.756290
1,0,6,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.759008
1,0,6,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.750881
1,0,6,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.744446
1,0,6,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.742974
1,0,6,vig_tiny,cifar10,1000.0,13,classifier,0.483234
1,0,7,vig_tiny,cifar10,1000.0,0,_vig_stem,0.902493
1,0,7,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.860161
1,0,7,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.828313
1,0,7,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.815037
1,0,7,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.796159
