round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,13.4937,6.5799,6.1499,13.492,0,0.460802,0.024313,4.483414,0.115482,1.304519,0.035117,0.002233,0.000118,0.001849,4.8e-05,0.029694,0.000799,0.310961,0.102515,0.499762,5.8523,22.1477,28.0,1.6865
2,0.00999014,26.4529,22.2254,36.273,26.1728,0,0.303191,0.020435,2.920655,0.077952,0.888551,0.02625,0.001469,9.9e-05,0.001204,3.2e-05,0.020226,0.000598,0.250845,0.101023,0.147002,9.3565,23.5294,32.8859,3.2236
3,0.00996061,38.477,37.6058,44.5869,38.3107,0,0.273604,0.016727,2.754269,0.082003,0.854275,0.026335,0.001326,8.1e-05,0.001136,3.4e-05,0.019445,0.000599,0.202183,0.079795,0.087131,13.704,28.1879,41.8919,4.6179
4,0.00991152,44.2886,44.3414,48.5468,44.0648,0,0.277341,0.013185,2.801763,0.074426,0.828057,0.028986,0.001344,6.4e-05,0.001155,3.1e-05,0.018849,0.00066,0.161786,0.060143,0.079998,8.9217,29.3333,38.255,2.2755
5,0.00984307,46.7602,47.1237,51.1515,46.4702,0,0.285704,0.011993,2.888021,0.090047,0.807825,0.024913,0.001385,5.8e-05,0.001191,3.7e-05,0.018388,0.000567,0.141683,0.044871,0.053516,17.0824,28.1879,45.2703,5.6974
6,0.00975553,49.2986,49.6113,53.0835,48.9964,0,0.286812,0.013418,2.988286,0.068629,0.776253,0.025136,0.00139,6.5e-05,0.001232,2.8e-05,0.01767,0.000572,0.121199,0.034976,0.045949,9.281,30.719,40.0,2.9577
7,0.00964923,50.9018,51.4848,55.4924,50.8088,0,0.291956,0.011983,3.074258,0.059153,0.761585,0.020004,0.001415,5.8e-05,0.001268,2.4e-05,0.017336,0.000455,0.126527,0.027337,0.019346,8.2688,34.8684,43.1373,2.6105
8,0.00952461,52.0374,52.6616,56.0875,51.9259,0,0.297989,0.008724,3.139382,0.064519,0.738188,0.02246,0.001444,4.2e-05,0.001295,2.7e-05,0.016803,0.000511,0.105871,0.02131,0.020737,15.2883,31.3333,46.6216,4.3166
9,0.00938215,50.9686,51.4407,55.2898,50.6653,0,0.304027,0.014179,3.224606,0.062913,0.71729,0.025928,0.001473,6.9e-05,0.00133,2.6e-05,0.016327,0.00059,0.102185,0.015701,0.016931,8.7248,34.2282,42.953,2.6342
10,0.00922242,50.3006,50.2945,54.9407,50.0307,0,0.312478,0.013519,3.274174,0.049064,0.69807,0.025886,0.001514,6.6e-05,0.00135,2e-05,0.01589,0.000589,0.082955,0.011309,0.030204,14.8616,31.5436,46.4052,3.8873
