round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vim_tiny,cifar10,0.03,0,base.patch_embed,0.992279
1,0,1,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.924706
1,0,1,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.848335
1,0,1,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.831298
1,0,1,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.743470
1,0,1,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.745995
1,0,1,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.832608
1,0,1,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.645332
1,0,1,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.777424
1,0,1,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.830057
1,0,1,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.969781
1,0,1,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.884089
1,0,1,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.632930
1,0,1,vim_tiny,cifar10,0.03,13,classifier,0.252210
1,0,2,vim_tiny,cifar10,0.03,0,base.patch_embed,0.999408
1,0,2,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.784134
1,0,2,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.950318
1,0,2,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.915878
1,0,2,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.908879
1,0,2,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.725216
1,0,2,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.917600
1,0,2,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.874882
1,0,2,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.968057
1,0,2,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.931379
1,0,2,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.957974
1,0,2,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.944439
1,0,2,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.721670
1,0,2,vim_tiny,cifar10,0.03,13,classifier,0.640793
1,0,3,vim_tiny,cifar10,0.03,0,base.patch_embed,0.999589
1,0,3,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.901119
1,0,3,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.958285
1,0,3,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.883910
1,0,3,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.863482
1,0,3,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.868715
1,0,3,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.885157
1,0,3,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.881416
1,0,3,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.873380
1,0,3,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.935970
1,0,3,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.974726
1,0,3,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.958345
1,0,3,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.981103
1,0,3,vim_tiny,cifar10,0.03,13,classifier,0.806477
1,0,4,vim_tiny,cifar10,0.03,0,base.patch_embed,0.999770
1,0,4,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.686777
1,0,4,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.972287
1,0,4,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.922766
1,0,4,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.838116
1,0,4,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.646714
1,0,4,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.913331
1,0,4,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.808590
1,0,4,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.910207
1,0,4,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.837258
1,0,4,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.857593
1,0,4,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.751007
1,0,4,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.936781
1,0,4,vim_tiny,cifar10,0.03,13,classifier,0.517441
1,0,5,vim_tiny,cifar10,0.03,0,base.patch_embed,0.998491
1,0,5,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.929377
1,0,5,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.925626
1,0,5,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.827356
1,0,5,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.897944
1,0,5,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.683852
1,0,5,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.754972
1,0,5,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.848436
1,0,5,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.938699
1,0,5,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.927604
1,0,5,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.944927
1,0,5,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.906286
1,0,5,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.631651
1,0,5,vim_tiny,cifar10,0.03,13,classifier,0.531854
