round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,16.1657,7.3465,4.88,16.517,0,0.163273,0.094044,2.473603,0.397551,0.640319,0.106718,0.003268,0.001882,0.001347,0.000216,0.014575,0.002429,0.540091,0.051653,0.082152,39.8559,36.3636,76.2195,10.94
2,0.00999014,16.6333,10.834,12.2718,17.4607,0,0.149957,0.077887,1.202316,0.312027,0.775679,0.271894,0.003002,0.001559,0.000655,0.00017,0.017656,0.006189,0.750954,0.165281,0.110714,50.0,29.2683,79.2683,12.1898
3,0.00996061,19.7061,13.5247,17.2133,19.8751,0,0.175707,0.076475,0.989204,0.258534,0.830376,0.207011,0.003517,0.001531,0.000539,0.000141,0.018902,0.004712,0.862843,0.185173,0.118918,32.3824,40.1786,72.561,9.2643
4,0.00991152,23.1797,16.0246,17.8875,23.2787,0,0.159834,0.07361,0.852116,0.239795,0.764501,0.266062,0.003199,0.001473,0.000464,0.000131,0.017402,0.006056,0.91443,0.122293,-0.004208,38.8837,40.3846,79.2683,10.5246
5,0.00984307,23.5137,19.3501,25.4518,23.8314,0,0.171886,0.089195,0.820736,0.217681,0.780734,0.160945,0.00344,0.001785,0.000447,0.000119,0.017772,0.003664,0.849188,0.113175,-0.040774,35.1481,41.0714,76.2195,10.6739
6,0.00975553,23.2465,17.9157,22.8015,23.8726,0,0.14947,0.069299,0.787842,0.197952,0.780895,0.138395,0.002992,0.001387,0.000429,0.000108,0.017775,0.00315,0.930463,0.094079,-0.066091,37.8267,38.3929,76.2195,10.1156
7,0.00964923,25.9185,22.0283,24.6324,26.1834,0,0.161552,0.068629,0.826712,0.19635,0.81598,0.131341,0.003234,0.001374,0.00045,0.000107,0.018574,0.00299,0.920553,0.089757,-0.0608,27.5915,43.75,71.3415,9.5568
8,0.00952461,26.1857,22.6792,26.07,26.6725,0,0.13833,0.061122,0.838088,0.20211,0.825964,0.147034,0.002769,0.001223,0.000456,0.00011,0.018801,0.003347,0.823095,0.083004,-0.084246,36.5854,43.9024,80.4878,10.7998
9,0.00938215,25.9185,22.2199,26.2592,26.3832,0,0.136456,0.054731,0.926919,0.2243,0.86253,0.154694,0.002731,0.001096,0.000505,0.000122,0.019633,0.003521,0.82174,0.090567,-0.077082,33.2753,39.2857,72.561,9.6819
10,0.00922242,28.6573,25.7758,34.0148,29.199,0,0.120418,0.054018,0.987437,0.249895,0.882111,0.166707,0.00241,0.001081,0.000538,0.000136,0.020079,0.003795,0.84287,0.120978,-0.078991,27.522,52.356,79.878,8.3374
11,0.00904604,29.3921,26.5379,30.3261,29.8207,0,0.090956,0.040164,1.008299,0.245824,0.867766,0.169683,0.001821,0.000804,0.000549,0.000134,0.019753,0.003862,0.688538,0.090307,-0.073727,23.8699,48.6911,72.561,7.6112
12,0.00885371,30.1937,27.7337,30.6826,30.8082,0,0.074089,0.025906,1.043296,0.252893,0.85017,0.166413,0.001483,0.000519,0.000568,0.000138,0.019352,0.003788,0.514431,0.061385,-0.073232,39.743,41.9643,81.7073,10.0496
13,0.0086462,30.8617,28.4835,30.1418,31.3598,0,0.070837,0.021922,1.117407,0.267624,0.826358,0.162188,0.001418,0.000439,0.000608,0.000146,0.01881,0.003692,0.467178,0.054824,-0.075432,27.0688,47.3214,74.3902,8.9466
14,0.00842431,32.9993,31.1484,32.3993,33.5197,0,0.066017,0.016754,1.119617,0.264434,0.801948,0.14605,0.001321,0.000335,0.00061,0.000144,0.018254,0.003324,0.433962,0.046769,-0.072955,31.0976,46.3415,77.439,8.1844
15,0.00818893,34.0013,31.8833,34.8009,34.7158,0,0.066873,0.017958,1.181573,0.268556,0.786083,0.141724,0.001339,0.000359,0.000643,0.000146,0.017893,0.003226,0.308296,0.032778,-0.067153,32.5942,45.4545,78.0488,9.6619
16,0.00794099,35.0033,33.2854,35.0747,35.4817,0,0.066838,0.01693,1.201782,0.275993,0.755144,0.150356,0.001338,0.000339,0.000654,0.00015,0.017189,0.003422,0.199255,0.031085,-0.07251,35.0392,49.1071,84.1463,9.4498
17,0.00768145,35.3373,33.4011,34.5365,35.8983,0,0.065572,0.015789,1.239553,0.274941,0.736543,0.131464,0.001312,0.000316,0.000675,0.00015,0.016766,0.002992,0.199308,0.018449,-0.068468,32.5566,47.3214,79.878,8.5087
18,0.00741136,35.4709,33.6016,34.4644,36.0104,0,0.066448,0.015642,1.235904,0.2783,0.727177,0.139778,0.00133,0.000313,0.000673,0.000152,0.016552,0.003182,0.19955,0.010698,-0.079273,41.6159,43.75,85.3659,11.5796
19,0.00713177,35.3373,33.4965,35.6951,36.1089,0,0.069729,0.017706,1.2857,0.295209,0.715815,0.121732,0.001396,0.000354,0.0007,0.000161,0.016294,0.002771,0.19703,0.002972,-0.075228,37.7613,48.2143,85.9756,10.1545
20,0.00684378,36.7401,34.539,35.5456,37.3141,0,0.071499,0.015364,1.297737,0.273046,0.710053,0.131394,0.001431,0.000308,0.000707,0.000149,0.016163,0.002991,0.203499,0.012213,-0.072242,25.3702,52.6786,78.0488,7.7997
21,0.00654854,37.0741,34.7487,36.0635,37.7118,0,0.06944,0.015296,1.327254,0.289176,0.695204,0.119741,0.00139,0.000306,0.000723,0.000157,0.015825,0.002726,0.176817,0.003143,-0.071338,30.2483,52.6786,82.9268,8.7251
22,0.00624721,36.6733,34.9977,35.4273,37.1652,0,0.073038,0.016856,1.353715,0.291273,0.673464,0.117974,0.001462,0.000337,0.000737,0.000159,0.01533,0.002685,0.176572,-0.001844,-0.076897,38.284,44.6429,82.9268,10.1244
23,0.00594097,37.1409,35.3629,35.8493,37.659,0,0.071179,0.016711,1.362951,0.285869,0.663105,0.10796,0.001425,0.000334,0.000742,0.000156,0.015094,0.002457,0.130665,-0.001545,-0.081372,36.5418,48.2143,84.7561,10.3953
24,0.00563104,37.2745,35.3189,37.0556,37.9124,0,0.071103,0.017736,1.409638,0.298201,0.659396,0.108473,0.001423,0.000355,0.000768,0.000162,0.01501,0.002469,0.143942,-0.00586,-0.075423,32.034,50.8929,82.9268,9.0829
25,0.00531864,38.4102,37.0023,37.701,38.807,0,0.070747,0.014454,1.412304,0.300727,0.641087,0.111036,0.001416,0.000289,0.000769,0.000164,0.014593,0.002527,0.123365,-0.004303,-0.073503,29.2683,54.878,84.1463,9.0938
26,0.005005,38.3434,37.0935,38.1939,38.9387,0,0.073791,0.017362,1.457655,0.308485,0.619788,0.10649,0.001477,0.000348,0.000794,0.000168,0.014108,0.002424,0.150422,-0.008703,-0.079015,32.034,50.8929,82.9268,8.5341
27,0.00469136,38.6106,36.636,37.2489,39.153,0,0.073999,0.016228,1.469909,0.318383,0.644354,0.106292,0.001481,0.000325,0.0008,0.000173,0.014667,0.002419,0.116098,-0.005968,-0.070135,22.3214,52.6786,75.0,6.8287
28,0.00437896,37.809,36.5597,37.0216,38.4107,0,0.076834,0.018972,1.504112,0.324523,0.620384,0.107405,0.001538,0.00038,0.000819,0.000177,0.014122,0.002445,0.102648,-0.003564,-0.074634,34.7165,50.6494,85.3659,9.9931
29,0.00406903,38.143,37.5821,37.5049,38.4985,0,0.076875,0.01838,1.543276,0.336182,0.610419,0.095388,0.001539,0.000368,0.00084,0.000183,0.013895,0.002171,0.120135,-0.005386,-0.070863,34.7561,50.0,84.7561,10.4178
30,0.00376279,38.4102,37.2037,37.8731,38.9217,0,0.07833,0.018533,1.553825,0.339908,0.584102,0.084262,0.001568,0.000371,0.000846,0.000185,0.013296,0.001918,0.127364,-0.002457,-0.067759,24.1071,50.8929,75.0,6.9438
31,0.00346146,39.5458,38.4896,38.8818,40.0652,0,0.079454,0.019498,1.57081,0.358273,0.588321,0.10006,0.00159,0.00039,0.000855,0.000195,0.013392,0.002278,0.104426,-0.010153,-0.075083,41.0497,45.5357,86.5854,10.5032
32,0.00316622,39.0782,38.0998,38.9812,39.489,0,0.079937,0.020129,1.592128,0.354862,0.599711,0.092619,0.0016,0.000403,0.000867,0.000193,0.013651,0.002108,0.08016,-0.012275,-0.067384,32.034,50.8929,82.9268,8.4112
33,0.00287823,39.3454,38.4534,38.8061,39.7191,0,0.082399,0.019471,1.627224,0.358167,0.588842,0.097201,0.001649,0.00039,0.000886,0.000195,0.013404,0.002213,0.094426,-0.015251,-0.07056,37.108,46.4286,83.5366,10.0198
34,0.00259864,40.0134,39.5959,41.1246,40.3846,0,0.081698,0.021003,1.652434,0.365919,0.59963,0.102338,0.001635,0.00042,0.0009,0.000199,0.013649,0.002329,0.084729,-0.012525,-0.070998,35.3659,50.0,85.3659,9.4075
35,0.00232855,39.4122,38.0788,38.6565,39.8854,0,0.082392,0.02287,1.659298,0.374728,0.581545,0.096598,0.001649,0.000458,0.000903,0.000204,0.013237,0.002199,0.092558,-0.011519,-0.070336,32.0775,52.6786,84.7561,9.3036
36,0.00206901,40.6146,39.6706,41.3808,41.0869,0,0.084895,0.022887,1.676902,0.382948,0.580536,0.096124,0.001699,0.000458,0.000913,0.000209,0.013214,0.002188,0.081218,-0.01151,-0.073993,26.4051,56.5217,82.9268,7.7638
37,0.00182107,39.479,38.2764,38.5355,40.0166,0,0.085781,0.023619,1.732174,0.395877,0.564854,0.093819,0.001717,0.000473,0.000943,0.000216,0.012858,0.002136,0.073356,-0.011255,-0.074961,34.1463,50.0,84.1463,8.5243
