round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vit_tiny,cifar10,0.03,0,base.patch_embed,0.895548
1,0,1,vit_tiny,cifar10,0.03,1,base.blocks.0,0.896035
1,0,1,vit_tiny,cifar10,0.03,2,base.blocks.1,0.897357
1,0,1,vit_tiny,cifar10,0.03,3,base.blocks.2,0.892007
1,0,1,vit_tiny,cifar10,0.03,4,base.blocks.3,0.892040
1,0,1,vit_tiny,cifar10,0.03,5,base.blocks.4,0.896472
1,0,1,vit_tiny,cifar10,0.03,6,base.blocks.5,0.893772
1,0,1,vit_tiny,cifar10,0.03,7,base.blocks.6,0.895039
1,0,1,vit_tiny,cifar10,0.03,8,base.blocks.7,0.896070
1,0,1,vit_tiny,cifar10,0.03,9,base.blocks.8,0.897509
1,0,1,vit_tiny,cifar10,0.03,10,base.blocks.9,0.897319
1,0,1,vit_tiny,cifar10,0.03,11,base.blocks.10,0.896518
1,0,1,vit_tiny,cifar10,0.03,12,base.blocks.11,0.891282
1,0,1,vit_tiny,cifar10,0.03,13,base.norm,0.887779
1,0,1,vit_tiny,cifar10,0.03,14,classifier,0.627411
1,0,2,vit_tiny,cifar10,0.03,0,base.patch_embed,0.966971
1,0,2,vit_tiny,cifar10,0.03,1,base.blocks.0,0.965910
1,0,2,vit_tiny,cifar10,0.03,2,base.blocks.1,0.963771
1,0,2,vit_tiny,cifar10,0.03,3,base.blocks.2,0.961706
1,0,2,vit_tiny,cifar10,0.03,4,base.blocks.3,0.959976
1,0,2,vit_tiny,cifar10,0.03,5,base.blocks.4,0.957998
1,0,2,vit_tiny,cifar10,0.03,6,base.blocks.5,0.957660
1,0,2,vit_tiny,cifar10,0.03,7,base.blocks.6,0.956171
1,0,2,vit_tiny,cifar10,0.03,8,base.blocks.7,0.954972
1,0,2,vit_tiny,cifar10,0.03,9,base.blocks.8,0.954893
1,0,2,vit_tiny,cifar10,0.03,10,base.blocks.9,0.953538
1,0,2,vit_tiny,cifar10,0.03,11,base.blocks.10,0.953629
1,0,2,vit_tiny,cifar10,0.03,12,base.blocks.11,0.954569
1,0,2,vit_tiny,cifar10,0.03,13,base.norm,0.936428
1,0,2,vit_tiny,cifar10,0.03,14,classifier,0.523535
1,0,3,vit_tiny,cifar10,0.03,0,base.patch_embed,0.991254
1,0,3,vit_tiny,cifar10,0.03,1,base.blocks.0,0.991563
1,0,3,vit_tiny,cifar10,0.03,2,base.blocks.1,0.990208
1,0,3,vit_tiny,cifar10,0.03,3,base.blocks.2,0.989304
1,0,3,vit_tiny,cifar10,0.03,4,base.blocks.3,0.987902
1,0,3,vit_tiny,cifar10,0.03,5,base.blocks.4,0.985582
1,0,3,vit_tiny,cifar10,0.03,6,base.blocks.5,0.985062
1,0,3,vit_tiny,cifar10,0.03,7,base.blocks.6,0.983994
1,0,3,vit_tiny,cifar10,0.03,8,base.blocks.7,0.983042
1,0,3,vit_tiny,cifar10,0.03,9,base.blocks.8,0.982256
1,0,3,vit_tiny,cifar10,0.03,10,base.blocks.9,0.980895
1,0,3,vit_tiny,cifar10,0.03,11,base.blocks.10,0.980767
1,0,3,vit_tiny,cifar10,0.03,12,base.blocks.11,0.980871
1,0,3,vit_tiny,cifar10,0.03,13,base.norm,0.966964
1,0,3,vit_tiny,cifar10,0.03,14,classifier,0.735104
1,0,4,vit_tiny,cifar10,0.03,0,base.patch_embed,0.988048
1,0,4,vit_tiny,cifar10,0.03,1,base.blocks.0,0.987521
1,0,4,vit_tiny,cifar10,0.03,2,base.blocks.1,0.986881
1,0,4,vit_tiny,cifar10,0.03,3,base.blocks.2,0.985194
1,0,4,vit_tiny,cifar10,0.03,4,base.blocks.3,0.984657
1,0,4,vit_tiny,cifar10,0.03,5,base.blocks.4,0.982974
1,0,4,vit_tiny,cifar10,0.03,6,base.blocks.5,0.982656
1,0,4,vit_tiny,cifar10,0.03,7,base.blocks.6,0.981823
1,0,4,vit_tiny,cifar10,0.03,8,base.blocks.7,0.980566
1,0,4,vit_tiny,cifar10,0.03,9,base.blocks.8,0.980433
1,0,4,vit_tiny,cifar10,0.03,10,base.blocks.9,0.979195
1,0,4,vit_tiny,cifar10,0.03,11,base.blocks.10,0.978593
1,0,4,vit_tiny,cifar10,0.03,12,base.blocks.11,0.979239
1,0,4,vit_tiny,cifar10,0.03,13,base.norm,0.960763
1,0,4,vit_tiny,cifar10,0.03,14,classifier,0.799024
1,0,5,vit_tiny,cifar10,0.03,0,base.patch_embed,0.989896
1,0,5,vit_tiny,cifar10,0.03,1,base.blocks.0,0.988809
1,0,5,vit_tiny,cifar10,0.03,2,base.blocks.1,0.988723
1,0,5,vit_tiny,cifar10,0.03,3,base.blocks.2,0.988383
1,0,5,vit_tiny,cifar10,0.03,4,base.blocks.3,0.987857
1,0,5,vit_tiny,cifar10,0.03,5,base.blocks.4,0.988122
1,0,5,vit_tiny,cifar10,0.03,6,base.blocks.5,0.987102
1,0,5,vit_tiny,cifar10,0.03,7,base.blocks.6,0.986882
1,0,5,vit_tiny,cifar10,0.03,8,base.blocks.7,0.986721
1,0,5,vit_tiny,cifar10,0.03,9,base.blocks.8,0.986786
1,0,5,vit_tiny,cifar10,0.03,10,base.blocks.9,0.986845
1,0,5,vit_tiny,cifar10,0.03,11,base.blocks.10,0.986626
1,0,5,vit_tiny,cifar10,0.03,12,base.blocks.11,0.985873
1,0,5,vit_tiny,cifar10,0.03,13,base.norm,0.953200
1,0,5,vit_tiny,cifar10,0.03,14,classifier,0.901967
1,0,6,vit_tiny,cifar10,0.03,0,base.patch_embed,0.963982
1,0,6,vit_tiny,cifar10,0.03,1,base.blocks.0,0.962078
1,0,6,vit_tiny,cifar10,0.03,2,base.blocks.1,0.959828
1,0,6,vit_tiny,cifar10,0.03,3,base.blocks.2,0.956102
1,0,6,vit_tiny,cifar10,0.03,4,base.blocks.3,0.953387
1,0,6,vit_tiny,cifar10,0.03,5,base.blocks.4,0.949244
1,0,6,vit_tiny,cifar10,0.03,6,base.blocks.5,0.947222
1,0,6,vit_tiny,cifar10,0.03,7,base.blocks.6,0.944890
1,0,6,vit_tiny,cifar10,0.03,8,base.blocks.7,0.942673
1,0,6,vit_tiny,cifar10,0.03,9,base.blocks.8,0.941094
1,0,6,vit_tiny,cifar10,0.03,10,base.blocks.9,0.937305
1,0,6,vit_tiny,cifar10,0.03,11,base.blocks.10,0.935970
1,0,6,vit_tiny,cifar10,0.03,12,base.blocks.11,0.935556
1,0,6,vit_tiny,cifar10,0.03,13,base.norm,0.880835
1,0,6,vit_tiny,cifar10,0.03,14,classifier,0.175605
1,0,7,vit_tiny,cifar10,0.03,0,base.patch_embed,0.994968
1,0,7,vit_tiny,cifar10,0.03,1,base.blocks.0,0.992720
1,0,7,vit_tiny,cifar10,0.03,2,base.blocks.1,0.990725
1,0,7,vit_tiny,cifar10,0.03,3,base.blocks.2,0.988573
1,0,7,vit_tiny,cifar10,0.03,4,base.blocks.3,0.986862
1,0,7,vit_tiny,cifar10,0.03,5,base.blocks.4,0.984735
1,0,7,vit_tiny,cifar10,0.03,6,base.blocks.5,0.981494
1,0,7,vit_tiny,cifar10,0.03,7,base.blocks.6,0.978813
1,0,7,vit_tiny,cifar10,0.03,8,base.blocks.7,0.976592
1,0,7,vit_tiny,cifar10,0.03,9,base.blocks.8,0.974930
1,0,7,vit_tiny,cifar10,0.03,10,base.blocks.9,0.973038
1,0,7,vit_tiny,cifar10,0.03,11,base.blocks.10,0.969611
1,0,7,vit_tiny,cifar10,0.03,12,base.blocks.11,0.967966
1,0,7,vit_tiny,cifar10,0.03,13,base.norm,0.923311
1,0,7,vit_tiny,cifar10,0.03,14,classifier,0.528536
1,0,8,vit_tiny,cifar10,0.03,0,base.patch_embed,0.989942
1,0,8,vit_tiny,cifar10,0.03,1,base.blocks.0,0.990297
1,0,8,vit_tiny,cifar10,0.03,2,base.blocks.1,0.991787
1,0,8,vit_tiny,cifar10,0.03,3,base.blocks.2,0.992983
1,0,8,vit_tiny,cifar10,0.03,4,base.blocks.3,0.992438
1,0,8,vit_tiny,cifar10,0.03,5,base.blocks.4,0.991909
1,0,8,vit_tiny,cifar10,0.03,6,base.blocks.5,0.989720
1,0,8,vit_tiny,cifar10,0.03,7,base.blocks.6,0.989200
1,0,8,vit_tiny,cifar10,0.03,8,base.blocks.7,0.987282
1,0,8,vit_tiny,cifar10,0.03,9,base.blocks.8,0.987405
1,0,8,vit_tiny,cifar10,0.03,10,base.blocks.9,0.985238
1,0,8,vit_tiny,cifar10,0.03,11,base.blocks.10,0.984935
1,0,8,vit_tiny,cifar10,0.03,12,base.blocks.11,0.982672
1,0,8,vit_tiny,cifar10,0.03,13,base.norm,0.966577
1,0,8,vit_tiny,cifar10,0.03,14,classifier,0.798442
1,0,9,vit_tiny,cifar10,0.03,0,base.patch_embed,0.954149
1,0,9,vit_tiny,cifar10,0.03,1,base.blocks.0,0.941173
1,0,9,vit_tiny,cifar10,0.03,2,base.blocks.1,0.926610
1,0,9,vit_tiny,cifar10,0.03,3,base.blocks.2,0.910936
1,0,9,vit_tiny,cifar10,0.03,4,base.blocks.3,0.892654
1,0,9,vit_tiny,cifar10,0.03,5,base.blocks.4,0.868944
1,0,9,vit_tiny,cifar10,0.03,6,base.blocks.5,0.848986
1,0,9,vit_tiny,cifar10,0.03,7,base.blocks.6,0.838331
1,0,9,vit_tiny,cifar10,0.03,8,base.blocks.7,0.826748
1,0,9,vit_tiny,cifar10,0.03,9,base.blocks.8,0.814454
1,0,9,vit_tiny,cifar10,0.03,10,base.blocks.9,0.796831
1,0,9,vit_tiny,cifar10,0.03,11,base.blocks.10,0.785958
1,0,9,vit_tiny,cifar10,0.03,12,base.blocks.11,0.773444
1,0,9,vit_tiny,cifar10,0.03,13,base.norm,0.729176
1,0,9,vit_tiny,cifar10,0.03,14,classifier,0.364829
1,1,2,vit_tiny,cifar10,0.03,0,base.patch_embed,0.867966
1,1,2,vit_tiny,cifar10,0.03,1,base.blocks.0,0.862285
1,1,2,vit_tiny,cifar10,0.03,2,base.blocks.1,0.855339
1,1,2,vit_tiny,cifar10,0.03,3,base.blocks.2,0.843333
1,1,2,vit_tiny,cifar10,0.03,4,base.blocks.3,0.837866
1,1,2,vit_tiny,cifar10,0.03,5,base.blocks.4,0.833158
1,1,2,vit_tiny,cifar10,0.03,6,base.blocks.5,0.829008
1,1,2,vit_tiny,cifar10,0.03,7,base.blocks.6,0.828052
1,1,2,vit_tiny,cifar10,0.03,8,base.blocks.7,0.825213
1,1,2,vit_tiny,cifar10,0.03,9,base.blocks.8,0.822478
1,1,2,vit_tiny,cifar10,0.03,10,base.blocks.9,0.818667
1,1,2,vit_tiny,cifar10,0.03,11,base.blocks.10,0.815188
1,1,2,vit_tiny,cifar10,0.03,12,base.blocks.11,0.811396
1,1,2,vit_tiny,cifar10,0.03,13,base.norm,0.776072
1,1,2,vit_tiny,cifar10,0.03,14,classifier,0.128442
1,1,3,vit_tiny,cifar10,0.03,0,base.patch_embed,0.883449
1,1,3,vit_tiny,cifar10,0.03,1,base.blocks.0,0.882165
1,1,3,vit_tiny,cifar10,0.03,2,base.blocks.1,0.877988
1,1,3,vit_tiny,cifar10,0.03,3,base.blocks.2,0.868272
1,1,3,vit_tiny,cifar10,0.03,4,base.blocks.3,0.864051
1,1,3,vit_tiny,cifar10,0.03,5,base.blocks.4,0.862499
1,1,3,vit_tiny,cifar10,0.03,6,base.blocks.5,0.859183
1,1,3,vit_tiny,cifar10,0.03,7,base.blocks.6,0.858721
1,1,3,vit_tiny,cifar10,0.03,8,base.blocks.7,0.856723
1,1,3,vit_tiny,cifar10,0.03,9,base.blocks.8,0.855216
1,1,3,vit_tiny,cifar10,0.03,10,base.blocks.9,0.852327
1,1,3,vit_tiny,cifar10,0.03,11,base.blocks.10,0.850196
1,1,3,vit_tiny,cifar10,0.03,12,base.blocks.11,0.846315
1,1,3,vit_tiny,cifar10,0.03,13,base.norm,0.837955
1,1,3,vit_tiny,cifar10,0.03,14,classifier,0.736930
1,1,4,vit_tiny,cifar10,0.03,0,base.patch_embed,0.879533
1,1,4,vit_tiny,cifar10,0.03,1,base.blocks.0,0.875773
1,1,4,vit_tiny,cifar10,0.03,2,base.blocks.1,0.871412
1,1,4,vit_tiny,cifar10,0.03,3,base.blocks.2,0.861220
1,1,4,vit_tiny,cifar10,0.03,4,base.blocks.3,0.857120
1,1,4,vit_tiny,cifar10,0.03,5,base.blocks.4,0.854613
1,1,4,vit_tiny,cifar10,0.03,6,base.blocks.5,0.850412
1,1,4,vit_tiny,cifar10,0.03,7,base.blocks.6,0.849564
1,1,4,vit_tiny,cifar10,0.03,8,base.blocks.7,0.846684
1,1,4,vit_tiny,cifar10,0.03,9,base.blocks.8,0.844839
1,1,4,vit_tiny,cifar10,0.03,10,base.blocks.9,0.841156
1,1,4,vit_tiny,cifar10,0.03,11,base.blocks.10,0.837929
1,1,4,vit_tiny,cifar10,0.03,12,base.blocks.11,0.833705
1,1,4,vit_tiny,cifar10,0.03,13,base.norm,0.816634
1,1,4,vit_tiny,cifar10,0.03,14,classifier,0.229691
1,1,5,vit_tiny,cifar10,0.03,0,base.patch_embed,0.877919
1,1,5,vit_tiny,cifar10,0.03,1,base.blocks.0,0.880572
1,1,5,vit_tiny,cifar10,0.03,2,base.blocks.1,0.885426
1,1,5,vit_tiny,cifar10,0.03,3,base.blocks.2,0.879974
1,1,5,vit_tiny,cifar10,0.03,4,base.blocks.3,0.880751
1,1,5,vit_tiny,cifar10,0.03,5,base.blocks.4,0.889645
1,1,5,vit_tiny,cifar10,0.03,6,base.blocks.5,0.887433
1,1,5,vit_tiny,cifar10,0.03,7,base.blocks.6,0.888262
1,1,5,vit_tiny,cifar10,0.03,8,base.blocks.7,0.888958
1,1,5,vit_tiny,cifar10,0.03,9,base.blocks.8,0.891518
1,1,5,vit_tiny,cifar10,0.03,10,base.blocks.9,0.891834
1,1,5,vit_tiny,cifar10,0.03,11,base.blocks.10,0.891445
1,1,5,vit_tiny,cifar10,0.03,12,base.blocks.11,0.885786
1,1,5,vit_tiny,cifar10,0.03,13,base.norm,0.892276
1,1,5,vit_tiny,cifar10,0.03,14,classifier,0.661076
1,1,6,vit_tiny,cifar10,0.03,0,base.patch_embed,0.861926
1,1,6,vit_tiny,cifar10,0.03,1,base.blocks.0,0.854674
1,1,6,vit_tiny,cifar10,0.03,2,base.blocks.1,0.845978
1,1,6,vit_tiny,cifar10,0.03,3,base.blocks.2,0.832656
1,1,6,vit_tiny,cifar10,0.03,4,base.blocks.3,0.825661
1,1,6,vit_tiny,cifar10,0.03,5,base.blocks.4,0.818564
1,1,6,vit_tiny,cifar10,0.03,6,base.blocks.5,0.813372
1,1,6,vit_tiny,cifar10,0.03,7,base.blocks.6,0.812103
1,1,6,vit_tiny,cifar10,0.03,8,base.blocks.7,0.808170
1,1,6,vit_tiny,cifar10,0.03,9,base.blocks.8,0.804129
1,1,6,vit_tiny,cifar10,0.03,10,base.blocks.9,0.798605
1,1,6,vit_tiny,cifar10,0.03,11,base.blocks.10,0.794545
1,1,6,vit_tiny,cifar10,0.03,12,base.blocks.11,0.790489
1,1,6,vit_tiny,cifar10,0.03,13,base.norm,0.727790
1,1,6,vit_tiny,cifar10,0.03,14,classifier,0.039638
1,1,7,vit_tiny,cifar10,0.03,0,base.patch_embed,0.877486
1,1,7,vit_tiny,cifar10,0.03,1,base.blocks.0,0.875041
