round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,18.4615,13.7689,17.4885,18.6707,0,0.173973,0.102824,3.473729,1.305995,0.71231,0.248246,0.001776,0.001049,0.001484,0.000558,0.016214,0.005651,0.037403,-0.047619,-0.03145,77.7778,22.2222,100.0,26.7119
2,0.00999014,16.1204,11.4948,16.24,16.9616,0,0.134161,0.096223,1.893185,0.727963,0.860333,0.367718,0.001369,0.000982,0.000809,0.000311,0.019583,0.00837,0.148192,-0.006805,-0.007205,66.6667,33.3333,100.0,23.1155
3,0.00996061,14.8495,7.8854,8.7355,14.7189,0,0.165074,0.11214,1.582159,0.663309,1.356886,0.807912,0.001685,0.001145,0.000676,0.000283,0.030886,0.01839,0.268045,0.014322,0.00107,100.0,0.0,100.0,31.1867
4,0.00991152,12.6421,5.5163,7.8377,12.788,0,0.130472,0.108333,1.369187,0.53813,1.214861,0.519613,0.001332,0.001106,0.000585,0.00023,0.027653,0.011828,0.156951,0.027081,0.00588,100.0,0.0,100.0,31.4379
5,0.00984307,18.4615,13.964,16.4662,18.3724,0,0.20656,0.12534,1.465207,0.599631,1.700791,0.831407,0.002108,0.001279,0.000626,0.000256,0.038714,0.018925,0.402792,0.009304,0.029013,100.0,0.0,100.0,31.1642
6,0.00975553,14.5819,7.0539,8.4954,14.5418,0,0.142664,0.132938,1.169116,0.418975,1.194748,0.430888,0.001456,0.001357,0.0005,0.000179,0.027196,0.009808,0.083838,-0.026553,-0.048398,88.8889,11.1111,100.0,27.9723
7,0.00964923,16.99,10.6985,24.9248,16.9827,0,0.181038,0.084199,1.342247,0.61828,1.442594,0.691238,0.001848,0.000859,0.000574,0.000264,0.032837,0.015734,0.473135,0.00251,-0.012619,100.0,0.0,100.0,31.2453
8,0.00952461,16.8562,10.3045,14.312,17.7656,0,0.127737,0.073601,1.288711,0.49324,1.097889,0.403799,0.001304,0.000751,0.000551,0.000211,0.024991,0.009192,0.052659,-0.014187,-0.043646,48.8491,51.1509,100.0,18.4872
9,0.00938215,21.6722,15.6834,20.2362,21.1809,0,0.185712,0.07494,1.381081,0.62225,1.278391,0.591478,0.001895,0.000765,0.00059,0.000266,0.029099,0.013464,0.470464,-0.022763,-0.033652,100.0,0.0,100.0,31.0386
10,0.00922242,19.7993,13.423,27.8567,20.263,0,0.136636,0.058666,1.299242,0.545482,0.990411,0.364569,0.001395,0.000599,0.000555,0.000233,0.022544,0.008299,0.093083,-0.06149,-0.063677,50.8951,49.1049,100.0,16.4743
11,0.00904604,21.2709,16.2129,26.9295,20.9904,0,0.155944,0.062445,1.367609,0.548879,0.925955,0.363299,0.001592,0.000637,0.000584,0.000235,0.021077,0.00827,0.159315,-0.051416,-0.063225,100.0,0.0,100.0,30.7718
12,0.00885371,21.3378,15.1423,26.9899,21.3739,0,0.147944,0.070247,1.407387,0.583309,0.863581,0.33692,0.00151,0.000717,0.000601,0.000249,0.019657,0.007669,0.112454,-0.054841,-0.062185,44.2455,55.7545,100.0,14.8248
13,0.0086462,20.0,12.8194,25.3156,20.0612,0,0.16834,0.077853,1.431007,0.612885,0.828312,0.365519,0.001718,0.000795,0.000611,0.000262,0.018855,0.00832,0.212208,-0.041412,-0.059152,100.0,0.0,100.0,31.625
14,0.00842431,21.6054,15.5862,19.731,22.062,0,0.163536,0.092212,1.472386,0.579967,0.825121,0.375185,0.001669,0.000941,0.000629,0.000248,0.018782,0.00854,0.123845,-0.052908,-0.057845,57.289,42.711,100.0,18.0837
15,0.00818893,19.4649,11.7126,25.8012,19.3866,0,0.237499,0.118713,1.454999,0.630894,0.77178,0.311188,0.002424,0.001212,0.000622,0.00027,0.017568,0.007083,0.197487,-0.048774,-0.060856,100.0,0.0,100.0,30.5331
16,0.00794099,21.6722,16.917,21.8187,21.5824,0,0.168807,0.077022,1.593223,0.715305,0.718088,0.293087,0.001723,0.000786,0.000681,0.000306,0.016346,0.006671,0.031667,-0.020588,-0.046843,46.0358,53.9642,100.0,16.1864
17,0.00768145,19.1304,11.3891,17.5116,19.0471,0,0.347302,0.246707,1.474559,0.689042,0.942332,0.472945,0.003545,0.002518,0.00063,0.000294,0.02145,0.010765,0.2895,-0.009738,-0.043869,100.0,0.0,100.0,30.9985
18,0.00741136,22.2074,16.3667,17.4053,22.541,0,0.220932,0.109963,1.392973,0.579915,0.835354,0.343805,0.002255,0.001122,0.000595,0.000248,0.019015,0.007826,-0.007377,-0.029752,-0.035459,100.0,0.0,100.0,31.0634
19,0.00713177,25.9532,21.6236,34.5415,25.8258,0,0.344949,0.195636,1.417241,0.577496,0.833197,0.351311,0.003521,0.001997,0.000606,0.000247,0.018966,0.007997,0.201358,-0.027723,-0.050185,77.7778,22.2222,100.0,25.1176
20,0.00684378,25.6856,21.0279,23.5875,25.9487,0,0.237907,0.122438,1.322243,0.536649,0.701323,0.273621,0.002428,0.00125,0.000565,0.000229,0.015964,0.006228,-0.000775,-0.071961,-0.079894,100.0,0.0,100.0,31.2962
21,0.00654854,25.6856,21.4323,27.6843,25.839,0,0.318278,0.176823,1.411434,0.563131,0.73283,0.29116,0.003248,0.001805,0.000603,0.000241,0.016681,0.006628,0.126158,-0.046488,-0.058713,77.7778,22.2222,100.0,25.1769
22,0.00624721,25.7525,21.2765,24.083,25.951,0,0.255617,0.147619,1.343402,0.531896,0.648232,0.262093,0.002609,0.001507,0.000574,0.000227,0.014755,0.005966,0.009447,-0.074074,-0.081027,100.0,0.0,100.0,30.2749
23,0.00594097,27.0234,23.3743,27.1187,27.2059,0,0.304981,0.170267,1.435377,0.589943,0.701471,0.278668,0.003113,0.001738,0.000613,0.000252,0.015967,0.006343,0.100064,-0.045636,-0.053443,66.6667,33.3333,100.0,23.2018
24,0.00563104,24.8829,20.7388,25.5961,24.9833,0,0.263208,0.146541,1.366974,0.55641,0.622112,0.254061,0.002686,0.001496,0.000584,0.000238,0.014161,0.005783,0.008121,-0.063512,-0.075205,88.8889,11.1111,100.0,27.6521
25,0.00531864,26.4214,21.4043,24.6627,26.7488,0,0.289289,0.158694,1.453185,0.589117,0.684516,0.262211,0.002953,0.00162,0.000621,0.000252,0.015581,0.005969,0.067244,-0.047718,-0.052806,77.7778,22.2222,100.0,24.7527
26,0.005005,25.4849,22.5878,30.2208,25.3069,0,0.293705,0.168832,1.447658,0.641222,0.638282,0.27548,0.002998,0.001723,0.000619,0.000274,0.014529,0.006271,0.035601,-0.052898,-0.066244,100.0,0.0,100.0,30.5727
27,0.00469136,26.2876,21.9282,25.5153,26.6591,0,0.261647,0.136057,1.426283,0.545664,0.663543,0.235986,0.00267,0.001389,0.000609,0.000233,0.015104,0.005372,0.015536,-0.060504,-0.059021,66.6667,33.3333,100.0,23.1517
28,0.00437896,27.2241,24.4942,31.8877,27.0188,0,0.305616,0.177413,1.468934,0.629263,0.626882,0.269167,0.003119,0.001811,0.000628,0.000269,0.014269,0.006127,0.057966,-0.051676,-0.062963,100.0,0.0,100.0,30.3766
29,0.00406903,26.7559,22.1023,24.3907,26.9953,0,0.258237,0.143532,1.407102,0.526502,0.634973,0.22496,0.002636,0.001465,0.000601,0.000225,0.014454,0.005121,-0.006316,-0.067925,-0.065314,66.6667,33.3333,100.0,21.9524
30,0.00376279,29.8328,28.5233,33.3692,29.6261,0,0.309762,0.184217,1.491483,0.625718,0.592778,0.247828,0.003161,0.00188,0.000637,0.000267,0.013493,0.005641,0.08822,-0.048123,-0.057888,100.0,0.0,100.0,30.7555
31,0.00346146,24.8161,18.4992,26.8747,25.1985,0,0.25075,0.147411,1.45359,0.52753,0.596699,0.212641,0.002559,0.001505,0.000621,0.000225,0.013582,0.00484,-0.025819,-0.06377,-0.074954,44.4444,55.5556,100.0,17.2552
32,0.00316622,27.4247,22.7028,31.4315,27.3694,0,0.314841,0.193547,1.558286,0.684339,0.630939,0.266051,0.003213,0.001975,0.000666,0.000292,0.014362,0.006056,0.101668,-0.029382,-0.04967,100.0,0.0,100.0,30.3182
33,0.00287823,21.8729,15.3431,18.3758,22.5093,0,0.257587,0.16691,1.489411,0.643274,0.657889,0.279907,0.002629,0.001704,0.000636,0.000275,0.014975,0.006371,-0.029973,-0.037411,-0.066702,41.688,58.312,100.0,15.0119
34,0.00259864,29.6321,25.4055,26.8432,29.3596,0,0.330115,0.179992,1.612033,0.785382,0.839741,0.404339,0.003369,0.001837,0.000689,0.000336,0.019115,0.009204,0.089451,-0.004882,-0.027583,100.0,0.0,100.0,30.3222
35,0.00232855,25.5518,18.9258,20.8772,25.7627,0,0.301519,0.193238,1.360964,0.521443,0.662218,0.280362,0.003077,0.001972,0.000582,0.000223,0.015074,0.006382,0.003051,-0.057134,-0.072391,38.3632,61.6368,100.0,12.9319
36,0.00206901,28.6288,25.722,34.145,28.8193,0,0.29092,0.175122,1.443958,0.62663,0.643381,0.250178,0.002969,0.001787,0.000617,0.000268,0.014645,0.005695,0.001738,-0.056916,-0.063444,100.0,0.0,100.0,30.2384
37,0.00182107,24.2809,18.994,37.1572,24.7165,0,0.285158,0.174585,1.425012,0.536397,0.616151,0.235737,0.00291,0.001782,0.000609,0.000229,0.014025,0.005366,0.033002,-0.051341,-0.067192,43.9898,56.0102,100.0,15.7477
38,0.00158569,25.6187,21.2324,36.0749,25.6424,0,0.274504,0.176453,1.474304,0.675668,0.613891,0.249324,0.002802,0.001801,0.00063,0.000289,0.013974,0.005675,-0.024824,-0.060027,-0.068051,77.7778,22.2222,100.0,24.4461
39,0.0013638,26.4214,19.881,28.7413,26.3681,0,0.337655,0.214275,1.631955,0.688017,0.685247,0.304144,0.003446,0.002187,0.000697,0.000294,0.015598,0.006923,0.117446,-0.013603,-0.030523,66.6667,33.3333,100.0,21.7337
40,0.00115629,26.2876,22.7346,26.8429,26.6063,0,0.303694,0.257866,1.509622,0.707958,0.687529,0.308902,0.0031,0.002632,0.000645,0.000303,0.01565,0.007031,-0.009508,-0.041645,-0.045935,44.4444,55.5556,100.0,17.2544
41,0.00096396,26.4214,21.2506,35.6073,26.2616,0,0.358778,0.223528,1.536244,0.665226,0.708654,0.314781,0.003662,0.002281,0.000656,0.000284,0.016131,0.007165,0.13401,-0.028753,-0.044428,100.0,0.0,100.0,30.4636
42,0.00078758,25.9532,20.9196,28.4318,25.7607,0,0.265393,0.163246,1.489652,0.602892,0.616103,0.23379,0.002709,0.001666,0.000637,0.000258,0.014024,0.005322,-0.035084,-0.047185,-0.05427,55.5556,44.4444,100.0,19.0985
43,0.00062785,27.4916,24.4189,30.9134,27.7976,0,0.341525,0.237514,1.532413,0.727044,0.700051,0.322302,0.003486,0.002424,0.000655,0.000311,0.015935,0.007336,0.115701,-0.029057,-0.046863,66.6667,33.3333,100.0,21.6217
44,0.00048539,28.7625,24.3629,32.9184,28.7007,0,0.271826,0.148532,1.450766,0.560752,0.688719,0.294482,0.002774,0.001516,0.00062,0.00024,0.015677,0.006703,-0.006174,-0.03554,-0.052304,66.6667,33.3333,100.0,21.6387
45,0.00036077,30.5686,28.3081,32.8747,30.638,0,0.305262,0.193331,1.442843,0.630478,0.616437,0.260135,0.003116,0.001973,0.000617,0.000269,0.014032,0.005921,0.050904,-0.04807,-0.068415,55.5556,44.4444,100.0,18.9002
46,0.00025447,29.2308,24.8226,40.4288,29.1704,0,0.268124,0.151932,1.419745,0.49795,0.583905,0.247439,0.002737,0.001551,0.000607,0.000213,0.013291,0.005632,-0.002992,-0.053196,-0.067522,77.7778,22.2222,100.0,24.2519
47,0.00016693,29.2977,27.4536,36.1471,29.3622,0,0.304671,0.193439,1.509245,0.639651,0.586702,0.222834,0.00311,0.001974,0.000645,0.000273,0.013355,0.005072,0.035355,-0.040104,-0.059078,66.6667,33.3333,100.0,22.0179
48,9.848e-05,27.4247,21.8941,35.7785,27.7748,0,0.27098,0.150155,1.411786,0.503395,0.568262,0.226388,0.002766,0.001533,0.000603,0.000215,0.012935,0.005153,-1.2e-05,-0.055987,-0.072549,88.8889,11.1111,100.0,27.2949
49,4.939e-05,28.8294,24.6683,38.9915,28.744,0,0.305228,0.191052,1.588743,0.690307,0.568957,0.215085,0.003115,0.00195,0.000679,0.000295,0.012951,0.004896,0.042464,-0.028092,-0.04197,44.4444,55.5556,100.0,16.5553
