round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vit_tiny,cifar10,1000.0,0,base.patch_embed,0.989777
1,1,vit_tiny,cifar10,1000.0,1,base.blocks.0,0.981987
1,1,vit_tiny,cifar10,1000.0,2,base.blocks.1,0.976802
1,1,vit_tiny,cifar10,1000.0,3,base.blocks.2,0.969955
1,1,vit_tiny,cifar10,1000.0,4,base.blocks.3,0.960940
1,1,vit_tiny,cifar10,1000.0,5,base.blocks.4,0.949705
1,1,vit_tiny,cifar10,1000.0,6,base.blocks.5,0.936553
1,1,vit_tiny,cifar10,1000.0,7,base.blocks.6,0.927477
1,1,vit_tiny,cifar10,1000.0,8,base.blocks.7,0.909427
1,1,vit_tiny,cifar10,1000.0,9,base.blocks.8,0.895946
1,1,vit_tiny,cifar10,1000.0,10,base.blocks.9,0.881290
1,1,vit_tiny,cifar10,1000.0,11,base.blocks.10,0.864381
1,1,vit_tiny,cifar10,1000.0,12,base.blocks.11,0.846972
1,1,vit_tiny,cifar10,1000.0,13,base.norm,0.874191
1,1,vit_tiny,cifar10,1000.0,14,classifier,0.547091
1,0,vit_tiny,cifar10,1000.0,0,base.patch_embed,0.979868
1,0,vit_tiny,cifar10,1000.0,1,base.blocks.0,0.974086
1,0,vit_tiny,cifar10,1000.0,2,base.blocks.1,0.966958
1,0,vit_tiny,cifar10,1000.0,3,base.blocks.2,0.956797
1,0,vit_tiny,cifar10,1000.0,4,base.blocks.3,0.945785
1,0,vit_tiny,cifar10,1000.0,5,base.blocks.4,0.929551
1,0,vit_tiny,cifar10,1000.0,6,base.blocks.5,0.913929
1,0,vit_tiny,cifar10,1000.0,7,base.blocks.6,0.899173
1,0,vit_tiny,cifar10,1000.0,8,base.blocks.7,0.875403
1,0,vit_tiny,cifar10,1000.0,9,base.blocks.8,0.858861
1,0,vit_tiny,cifar10,1000.0,10,base.blocks.9,0.837116
1,0,vit_tiny,cifar10,1000.0,11,base.blocks.10,0.818241
1,0,vit_tiny,cifar10,1000.0,12,base.blocks.11,0.795692
1,0,vit_tiny,cifar10,1000.0,13,base.norm,0.833615
1,0,vit_tiny,cifar10,1000.0,14,classifier,0.704371
1,4,vit_tiny,cifar10,1000.0,0,base.patch_embed,0.961423
1,4,vit_tiny,cifar10,1000.0,1,base.blocks.0,0.953975
1,4,vit_tiny,cifar10,1000.0,2,base.blocks.1,0.945127
1,4,vit_tiny,cifar10,1000.0,3,base.blocks.2,0.936898
1,4,vit_tiny,cifar10,1000.0,4,base.blocks.3,0.929262
1,4,vit_tiny,cifar10,1000.0,5,base.blocks.4,0.918482
1,4,vit_tiny,cifar10,1000.0,6,base.blocks.5,0.908189
1,4,vit_tiny,cifar10,1000.0,7,base.blocks.6,0.900533
1,4,vit_tiny,cifar10,1000.0,8,base.blocks.7,0.888516
1,4,vit_tiny,cifar10,1000.0,9,base.blocks.8,0.878704
1,4,vit_tiny,cifar10,1000.0,10,base.blocks.9,0.868629
1,4,vit_tiny,cifar10,1000.0,11,base.blocks.10,0.857211
1,4,vit_tiny,cifar10,1000.0,12,base.blocks.11,0.844993
1,4,vit_tiny,cifar10,1000.0,13,base.norm,0.892543
1,4,vit_tiny,cifar10,1000.0,14,classifier,0.634488
1,9,vit_tiny,cifar10,1000.0,0,base.patch_embed,0.993858
1,9,vit_tiny,cifar10,1000.0,1,base.blocks.0,0.990063
1,9,vit_tiny,cifar10,1000.0,2,base.blocks.1,0.986728
1,9,vit_tiny,cifar10,1000.0,3,base.blocks.2,0.982837
1,9,vit_tiny,cifar10,1000.0,4,base.blocks.3,0.978540
1,9,vit_tiny,cifar10,1000.0,5,base.blocks.4,0.974466
1,9,vit_tiny,cifar10,1000.0,6,base.blocks.5,0.969725
1,9,vit_tiny,cifar10,1000.0,7,base.blocks.6,0.965985
1,9,vit_tiny,cifar10,1000.0,8,base.blocks.7,0.958701
1,9,vit_tiny,cifar10,1000.0,9,base.blocks.8,0.952162
1,9,vit_tiny,cifar10,1000.0,10,base.blocks.9,0.945077
1,9,vit_tiny,cifar10,1000.0,11,base.blocks.10,0.937658
1,9,vit_tiny,cifar10,1000.0,12,base.blocks.11,0.927323
1,9,vit_tiny,cifar10,1000.0,13,base.norm,0.930075
1,9,vit_tiny,cifar10,1000.0,14,classifier,0.645244
1,6,vit_tiny,cifar10,1000.0,0,base.patch_embed,0.986318
1,6,vit_tiny,cifar10,1000.0,1,base.blocks.0,0.982440
1,6,vit_tiny,cifar10,1000.0,2,base.blocks.1,0.978135
1,6,vit_tiny,cifar10,1000.0,3,base.blocks.2,0.972958
1,6,vit_tiny,cifar10,1000.0,4,base.blocks.3,0.967789
1,6,vit_tiny,cifar10,1000.0,5,base.blocks.4,0.961174
1,6,vit_tiny,cifar10,1000.0,6,base.blocks.5,0.952610
1,6,vit_tiny,cifar10,1000.0,7,base.blocks.6,0.948041
1,6,vit_tiny,cifar10,1000.0,8,base.blocks.7,0.938504
1,6,vit_tiny,cifar10,1000.0,9,base.blocks.8,0.931197
1,6,vit_tiny,cifar10,1000.0,10,base.blocks.9,0.919076
1,6,vit_tiny,cifar10,1000.0,11,base.blocks.10,0.912014
1,6,vit_tiny,cifar10,1000.0,12,base.blocks.11,0.898373
1,6,vit_tiny,cifar10,1000.0,13,base.norm,0.912747
1,6,vit_tiny,cifar10,1000.0,14,classifier,0.618825
1,5,vit_tiny,cifar10,1000.0,0,base.patch_embed,0.988018
1,5,vit_tiny,cifar10,1000.0,1,base.blocks.0,0.987341
1,5,vit_tiny,cifar10,1000.0,2,base.blocks.1,0.985940
1,5,vit_tiny,cifar10,1000.0,3,base.blocks.2,0.982157
1,5,vit_tiny,cifar10,1000.0,4,base.blocks.3,0.977981
1,5,vit_tiny,cifar10,1000.0,5,base.blocks.4,0.973030
1,5,vit_tiny,cifar10,1000.0,6,base.blocks.5,0.966078
1,5,vit_tiny,cifar10,1000.0,7,base.blocks.6,0.962829
1,5,vit_tiny,cifar10,1000.0,8,base.blocks.7,0.954306
1,5,vit_tiny,cifar10,1000.0,9,base.blocks.8,0.946793
1,5,vit_tiny,cifar10,1000.0,10,base.blocks.9,0.937623
1,5,vit_tiny,cifar10,1000.0,11,base.blocks.10,0.930107
1,5,vit_tiny,cifar10,1000.0,12,base.blocks.11,0.920672
1,5,vit_tiny,cifar10,1000.0,13,base.norm,0.926769
1,5,vit_tiny,cifar10,1000.0,14,classifier,0.686216
1,8,vit_tiny,cifar10,1000.0,0,base.patch_embed,0.996511
1,8,vit_tiny,cifar10,1000.0,1,base.blocks.0,0.993445
1,8,vit_tiny,cifar10,1000.0,2,base.blocks.1,0.991149
1,8,vit_tiny,cifar10,1000.0,3,base.blocks.2,0.986686
1,8,vit_tiny,cifar10,1000.0,4,base.blocks.3,0.979834
1,8,vit_tiny,cifar10,1000.0,5,base.blocks.4,0.975478
1,8,vit_tiny,cifar10,1000.0,6,base.blocks.5,0.969182
1,8,vit_tiny,cifar10,1000.0,7,base.blocks.6,0.966378
1,8,vit_tiny,cifar10,1000.0,8,base.blocks.7,0.958569
1,8,vit_tiny,cifar10,1000.0,9,base.blocks.8,0.952942
1,8,vit_tiny,cifar10,1000.0,10,base.blocks.9,0.943564
1,8,vit_tiny,cifar10,1000.0,11,base.blocks.10,0.935518
1,8,vit_tiny,cifar10,1000.0,12,base.blocks.11,0.924853
1,8,vit_tiny,cifar10,1000.0,13,base.norm,0.937895
1,8,vit_tiny,cifar10,1000.0,14,classifier,0.501868
1,2,vit_tiny,cifar10,1000.0,0,base.patch_embed,0.949825
1,2,vit_tiny,cifar10,1000.0,1,base.blocks.0,0.926359
1,2,vit_tiny,cifar10,1000.0,2,base.blocks.1,0.913335
1,2,vit_tiny,cifar10,1000.0,3,base.blocks.2,0.897188
1,2,vit_tiny,cifar10,1000.0,4,base.blocks.3,0.876800
1,2,vit_tiny,cifar10,1000.0,5,base.blocks.4,0.860566
1,2,vit_tiny,cifar10,1000.0,6,base.blocks.5,0.839548
1,2,vit_tiny,cifar10,1000.0,7,base.blocks.6,0.825004
1,2,vit_tiny,cifar10,1000.0,8,base.blocks.7,0.804488
1,2,vit_tiny,cifar10,1000.0,9,base.blocks.8,0.791227
