epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,12.558450233800937,8.956456721824607,14.705391886842442,12.702088324423416,20.10688042752171,19.06713855129845,20.000465005481498,19.951985436608624
1,22.044088176352705,15.684048783641554,18.540943032520723,21.776826457415286,22.979291917167668,22.02001777461133,21.87481520664764,22.581802843914854
2,27.054108216432866,25.084617683749034,25.410002158832462,26.67052640521198,22.177688710754843,21.56407922837798,21.887368477048078,22.05561770598251
3,27.588510354041418,26.170924984087247,27.400325336689292,27.381103188128264,25.18370073480294,24.19572259718655,24.665089805123415,25.06452839935743
4,29.926519706078825,28.72418804308593,29.030589618638214,29.652806712224233,24.04809619238477,23.779612436729238,24.833638891286707,23.94733320814623
5,30.527722110888444,29.837291455615457,31.050946482293757,30.385475098367397,26.118904475617903,25.64339630780011,25.813136160249645,25.898891416308658
6,32.53173012692051,30.813974987031195,33.52354971870133,32.33839140435738,27.388109552438213,26.165596084992217,26.858631193458276,27.19909629921776
7,32.26452905811623,30.47645537599158,31.873858956941923,32.0419305403595,26.586506346025384,26.063194847247118,26.562720699995555,26.42852418845273
8,33.33333333333333,31.784655288548798,33.004440544660255,33.313797117896165,29.458917835671343,29.109070388899184,30.073442624848777,29.351011709738405
9,33.734134936539746,31.7110881078169,33.951501002330524,33.575469806000626,28.92451569806279,27.805054200572226,29.0399538492155,28.681941704495244
10,34.46893787575151,33.44039688768316,35.32243625968466,34.31142074096546,30.12692050768203,29.665149292710623,30.1596645902244,30.031458656031173
11,35.671342685370746,35.147848975206685,36.42436959615131,35.64305696504791,32.46492985971944,31.450949164861157,32.53578973397578,32.27623618166952
12,36.27254509018036,34.87538675860523,36.27953073489078,36.154709298433666,31.128924515698063,29.995143524179163,30.897570930861264,30.922275804386985
13,37.80895123580494,37.004883059047,38.78669133387609,37.65135259453993,31.730126920507683,30.9559719308262,31.42070170602056,31.524886333799714
14,37.94255177020708,36.704299981285594,37.99441735235013,37.784068296784454,33.46693386773547,32.68505255208344,33.607237577947245,33.32445377872932
15,38.41015364061457,37.90985128272571,38.51300726072189,38.30003560867994,32.598530394121575,31.924931069235956,33.0810115333921,32.541150125617094
16,39.879759519038075,38.861298379681585,40.71784598152354,39.85624449252066,31.730126920507683,31.3767361961652,32.33581786835559,31.5390319096792
17,40.14696058784235,40.013389907709154,41.184264107402605,40.05766441913616,32.66533066132264,32.31086776303017,32.71378607266232,32.579998572238516
18,41.21576486305945,40.67680728379464,41.54180132726809,41.061730254076465,36.00534402137608,35.23030554163429,36.610403964443854,35.95753805717118
19,40.81496325985304,39.5586826514808,41.842185542741966,40.74158654495186,34.86973947895792,34.02842696434728,34.82273382998418,34.65035128499011
20,40.81496325985304,39.666995778609625,40.91686315897435,40.66161311454709,35.136940547762194,34.52574027835924,35.025161484818234,34.86000926769094
21,40.54776219104876,39.83448463818067,41.04660877509832,40.36250967961408,35.537742150968604,34.98621463612822,36.21811507125141,35.45034530405394
22,41.750167000668,40.7027202409319,42.06037657262772,41.62922621655291,35.07014028056113,34.73560990903661,35.469361808481494,34.842824717674866
23,42.28456913827655,41.59196306966062,42.00056932848673,42.048684713154316,31.863727454909817,30.999904143580043,31.89671078824899,31.879816777113007
