round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,7,efficient1,cifar10,0.3,0,base,0.186033
1,7,efficient1,cifar10,0.3,1,classifier,0.000000
1,0,efficient1,cifar10,0.3,0,base,0.137952
1,0,efficient1,cifar10,0.3,1,classifier,0.000000
1,2,efficient1,cifar10,0.3,0,base,0.155160
1,2,efficient1,cifar10,0.3,1,classifier,0.000000
1,9,efficient1,cifar10,0.3,0,base,0.228966
1,9,efficient1,cifar10,0.3,1,classifier,0.000000
1,5,efficient1,cifar10,0.3,0,base,0.337728
1,5,efficient1,cifar10,0.3,1,classifier,0.000000
1,6,efficient1,cifar10,0.3,0,base,0.338508
1,6,efficient1,cifar10,0.3,1,classifier,0.000000
1,3,efficient1,cifar10,0.3,0,base,0.225980
1,3,efficient1,cifar10,0.3,1,classifier,0.000000
1,4,efficient1,cifar10,0.3,0,base,0.337478
1,4,efficient1,cifar10,0.3,1,classifier,0.000000
1,8,efficient1,cifar10,0.3,0,base,0.170311
1,8,efficient1,cifar10,0.3,1,classifier,0.000000
1,1,efficient1,cifar10,0.3,0,base,0.268722
1,1,efficient1,cifar10,0.3,1,classifier,0.000000
2,8,efficient1,cifar10,0.3,0,base,0.308101
2,8,efficient1,cifar10,0.3,1,classifier,0.075066
2,7,efficient1,cifar10,0.3,0,base,0.314809
2,7,efficient1,cifar10,0.3,1,classifier,0.096217
2,1,efficient1,cifar10,0.3,0,base,0.317575
2,1,efficient1,cifar10,0.3,1,classifier,0.095466
2,4,efficient1,cifar10,0.3,0,base,0.356858
2,4,efficient1,cifar10,0.3,1,classifier,0.078942
2,5,efficient1,cifar10,0.3,0,base,0.267972
2,5,efficient1,cifar10,0.3,1,classifier,0.094029
2,0,efficient1,cifar10,0.3,0,base,0.385541
2,0,efficient1,cifar10,0.3,1,classifier,0.115649
2,6,efficient1,cifar10,0.3,0,base,0.358922
2,6,efficient1,cifar10,0.3,1,classifier,0.104919
2,9,efficient1,cifar10,0.3,0,base,0.325156
2,9,efficient1,cifar10,0.3,1,classifier,0.074149
2,3,efficient1,cifar10,0.3,0,base,0.302550
2,3,efficient1,cifar10,0.3,1,classifier,0.082570
2,2,efficient1,cifar10,0.3,0,base,0.357546
2,2,efficient1,cifar10,0.3,1,classifier,0.090673
5,9,efficient1,cifar10,0.3,0,base,0.700138
5,9,efficient1,cifar10,0.3,1,classifier,0.738472
5,6,efficient1,cifar10,0.3,0,base,0.687312
5,6,efficient1,cifar10,0.3,1,classifier,0.686415
5,7,efficient1,cifar10,0.3,0,base,0.684079
5,7,efficient1,cifar10,0.3,1,classifier,0.649638
5,0,efficient1,cifar10,0.3,0,base,0.621911
5,0,efficient1,cifar10,0.3,1,classifier,0.602878
5,8,efficient1,cifar10,0.3,0,base,0.575348
5,8,efficient1,cifar10,0.3,1,classifier,0.546374
5,5,efficient1,cifar10,0.3,0,base,0.700740
5,5,efficient1,cifar10,0.3,1,classifier,0.714601
5,3,efficient1,cifar10,0.3,0,base,0.626608
5,3,efficient1,cifar10,0.3,1,classifier,0.624588
5,2,efficient1,cifar10,0.3,0,base,0.735657
5,2,efficient1,cifar10,0.3,1,classifier,0.745308
5,4,efficient1,cifar10,0.3,0,base,0.637006
5,4,efficient1,cifar10,0.3,1,classifier,0.586816
5,1,efficient1,cifar10,0.3,0,base,0.659305
5,1,efficient1,cifar10,0.3,1,classifier,0.668978
10,5,efficient1,cifar10,0.3,0,base,0.841100
10,5,efficient1,cifar10,0.3,1,classifier,0.861662
10,3,efficient1,cifar10,0.3,0,base,0.830530
10,3,efficient1,cifar10,0.3,1,classifier,0.841642
10,4,efficient1,cifar10,0.3,0,base,0.858353
10,4,efficient1,cifar10,0.3,1,classifier,0.860602
10,0,efficient1,cifar10,0.3,0,base,0.837039
10,0,efficient1,cifar10,0.3,1,classifier,0.863492
10,2,efficient1,cifar10,0.3,0,base,0.821021
10,2,efficient1,cifar10,0.3,1,classifier,0.841935
10,1,efficient1,cifar10,0.3,0,base,0.861031
10,1,efficient1,cifar10,0.3,1,classifier,0.860298
10,6,efficient1,cifar10,0.3,0,base,0.877046
10,6,efficient1,cifar10,0.3,1,classifier,0.876307
10,9,efficient1,cifar10,0.3,0,base,0.857807
10,9,efficient1,cifar10,0.3,1,classifier,0.859777
10,8,efficient1,cifar10,0.3,0,base,0.804151
10,8,efficient1,cifar10,0.3,1,classifier,0.806015
10,7,efficient1,cifar10,0.3,0,base,0.853948
10,7,efficient1,cifar10,0.3,1,classifier,0.855755
20,6,efficient1,cifar10,0.3,0,base,0.868688
20,6,efficient1,cifar10,0.3,1,classifier,0.876342
20,8,efficient1,cifar10,0.3,0,base,0.828744
20,8,efficient1,cifar10,0.3,1,classifier,0.835792
20,9,efficient1,cifar10,0.3,0,base,0.898279
20,9,efficient1,cifar10,0.3,1,classifier,0.887002
20,5,efficient1,cifar10,0.3,0,base,0.756818
20,5,efficient1,cifar10,0.3,1,classifier,0.787222
20,4,efficient1,cifar10,0.3,0,base,0.878920
20,4,efficient1,cifar10,0.3,1,classifier,0.880263
20,7,efficient1,cifar10,0.3,0,base,0.831240
20,7,efficient1,cifar10,0.3,1,classifier,0.833382
20,0,efficient1,cifar10,0.3,0,base,0.859333
20,0,efficient1,cifar10,0.3,1,classifier,0.847428
20,2,efficient1,cifar10,0.3,0,base,0.826583
20,2,efficient1,cifar10,0.3,1,classifier,0.856617
20,3,efficient1,cifar10,0.3,0,base,0.856375
20,3,efficient1,cifar10,0.3,1,classifier,0.866189
20,1,efficient1,cifar10,0.3,0,base,0.865836
20,1,efficient1,cifar10,0.3,1,classifier,0.861045
30,1,efficient1,cifar10,0.3,0,base,0.836424
30,1,efficient1,cifar10,0.3,1,classifier,0.828386
30,2,efficient1,cifar10,0.3,0,base,0.806695
30,2,efficient1,cifar10,0.3,1,classifier,0.819866
30,0,efficient1,cifar10,0.3,0,base,0.874876
30,0,efficient1,cifar10,0.3,1,classifier,0.880805
30,5,efficient1,cifar10,0.3,0,base,0.630615
30,5,efficient1,cifar10,0.3,1,classifier,0.674992
30,7,efficient1,cifar10,0.3,0,base,0.795588
30,7,efficient1,cifar10,0.3,1,classifier,0.800074
30,3,efficient1,cifar10,0.3,0,base,0.795923
30,3,efficient1,cifar10,0.3,1,classifier,0.798203
30,6,efficient1,cifar10,0.3,0,base,0.837599
30,6,efficient1,cifar10,0.3,1,classifier,0.846675
30,4,efficient1,cifar10,0.3,0,base,0.860317
30,4,efficient1,cifar10,0.3,1,classifier,0.874945
30,9,efficient1,cifar10,0.3,0,base,0.897094
30,9,efficient1,cifar10,0.3,1,classifier,0.903426
30,8,efficient1,cifar10,0.3,0,base,0.824493
30,8,efficient1,cifar10,0.3,1,classifier,0.814878
40,8,efficient1,cifar10,0.3,0,base,0.784466
40,8,efficient1,cifar10,0.3,1,classifier,0.783931
40,5,efficient1,cifar10,0.3,0,base,0.732166
40,5,efficient1,cifar10,0.3,1,classifier,0.759270
40,6,efficient1,cifar10,0.3,0,base,0.850405
40,6,efficient1,cifar10,0.3,1,classifier,0.864178
40,0,efficient1,cifar10,0.3,0,base,0.811573
40,0,efficient1,cifar10,0.3,1,classifier,0.849687
40,9,efficient1,cifar10,0.3,0,base,0.874349
40,9,efficient1,cifar10,0.3,1,classifier,0.868461
40,1,efficient1,cifar10,0.3,0,base,0.814438
40,1,efficient1,cifar10,0.3,1,classifier,0.804839
40,7,efficient1,cifar10,0.3,0,base,0.770203
40,7,efficient1,cifar10,0.3,1,classifier,0.795756
40,3,efficient1,cifar10,0.3,0,base,0.786676
40,3,efficient1,cifar10,0.3,1,classifier,0.825084
40,2,efficient1,cifar10,0.3,0,base,0.747713
40,2,efficient1,cifar10,0.3,1,classifier,0.765942
40,4,efficient1,cifar10,0.3,0,base,0.820921
40,4,efficient1,cifar10,0.3,1,classifier,0.862184
50,3,efficient1,cifar10,0.3,0,base,0.786024
50,3,efficient1,cifar10,0.3,1,classifier,0.783270
50,6,efficient1,cifar10,0.3,0,base,0.852701
50,6,efficient1,cifar10,0.3,1,classifier,0.872538
50,0,efficient1,cifar10,0.3,0,base,0.802868
50,0,efficient1,cifar10,0.3,1,classifier,0.818148
50,2,efficient1,cifar10,0.3,0,base,0.777083
50,2,efficient1,cifar10,0.3,1,classifier,0.802191
50,1,efficient1,cifar10,0.3,0,base,0.808704
50,1,efficient1,cifar10,0.3,1,classifier,0.793253
50,8,efficient1,cifar10,0.3,0,base,0.787951
50,8,efficient1,cifar10,0.3,1,classifier,0.771567
50,7,efficient1,cifar10,0.3,0,base,0.684293
50,7,efficient1,cifar10,0.3,1,classifier,0.708054
50,4,efficient1,cifar10,0.3,0,base,0.838606
50,4,efficient1,cifar10,0.3,1,classifier,0.861177
50,5,efficient1,cifar10,0.3,0,base,0.675405
50,5,efficient1,cifar10,0.3,1,classifier,0.680030
50,9,efficient1,cifar10,0.3,0,base,0.838376
50,9,efficient1,cifar10,0.3,1,classifier,0.834087
