round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,9.9026,1.8021,0.9903,10.0,0,1.903605,0.699288,12.338944,1.77605,2.474778,0.457788,0.007642,0.002807,0.004858,0.000699,0.021866,0.004045,0.421579,0.027384,0.010455,26.2877,53.6496,79.9373,8.2666
2,0.00999014,9.7893,1.7833,0.9789,10.0,0,1.71741,0.720354,9.652096,2.131048,2.122451,0.396092,0.006895,0.002892,0.0038,0.000839,0.018753,0.0035,0.526917,0.063988,0.041532,27.4386,54.3796,81.8182,8.0779
3,0.00996061,10.1094,2.2453,3.5488,10.2103,0,1.56751,0.729167,8.072476,2.266755,1.877729,0.376224,0.006293,0.002927,0.003178,0.000892,0.01659,0.003324,0.631664,0.113568,0.050373,21.5,62.7737,84.2738,6.6555
4,0.00991152,33.0555,29.7222,51.2198,33.2593,0,1.471086,0.743315,7.244559,2.4867,1.760771,0.33719,0.005906,0.002984,0.002852,0.000979,0.015557,0.002979,0.715448,0.163771,0.058549,22.6079,67.8832,90.4911,6.3236
5,0.00984307,62.5634,62.0186,66.3314,62.6164,0,1.400144,0.719154,6.779939,2.368316,1.65888,0.291004,0.005621,0.002887,0.002669,0.000932,0.014657,0.002571,0.731962,0.15536,0.05492,15.5886,76.2087,91.7973,5.352
6,0.00975553,73.8664,73.4445,74.9784,73.8389,0,1.356834,0.685273,6.442847,2.239767,1.569698,0.255576,0.005447,0.002751,0.002537,0.000882,0.013869,0.002258,0.717138,0.128065,0.045968,13.1277,78.7741,91.9018,4.5048
7,0.00964923,79.1278,78.8801,79.5893,79.1072,0,1.326398,0.657438,6.202879,2.126935,1.491158,0.235388,0.005325,0.002639,0.002442,0.000837,0.013175,0.00208,0.700674,0.10967,0.021055,11.7367,81.1578,92.8945,4.0293
8,0.00952461,81.5484,81.2011,81.9604,81.5359,0,1.305816,0.650051,6.058894,2.088912,1.428438,0.251241,0.005242,0.00261,0.002385,0.000822,0.012621,0.00222,0.695974,0.096213,-0.000256,12.9348,80.5344,93.4692,4.4497
9,0.00938215,83.0355,82.803,83.264,83.0336,0,1.289465,0.636656,5.910411,2.051652,1.388571,0.245489,0.005177,0.002556,0.002327,0.000808,0.012269,0.002169,0.683334,0.087779,-0.008616,11.333,83.3901,94.7231,3.9897
10,0.00922242,84.3825,84.1813,84.521,84.3684,1,1.282502,0.622962,5.884132,1.990586,1.365232,0.232305,0.005149,0.002501,0.002317,0.000784,0.012062,0.002053,0.668095,0.080217,-0.011506,9.8646,84.336,94.2006,3.5942
11,0.00904604,85.7229,85.5226,85.7735,85.7104,0,1.266555,0.611622,5.820111,2.003681,1.31564,0.23322,0.005085,0.002455,0.002291,0.000789,0.011624,0.002061,0.668091,0.075565,-0.021037,12.5892,82.7608,95.3501,4.1728
12,0.00885371,86.263,86.136,86.3183,86.2588,0,1.257917,0.604819,5.764482,1.966976,1.286117,0.233114,0.00505,0.002428,0.00227,0.000774,0.011363,0.00206,0.661786,0.073579,-0.019462,11.31,83.8063,95.1163,3.4868
13,0.0086462,86.8432,86.7182,86.957,86.8328,0,1.248842,0.599178,5.725863,1.965147,1.256379,0.232513,0.005014,0.002405,0.002254,0.000774,0.011101,0.002054,0.656603,0.070776,-0.025988,10.6393,84.4495,95.0888,3.6626
14,0.00842431,87.7567,87.6454,87.7506,87.7432,0,1.243031,0.582409,5.67701,1.878729,1.243759,0.23641,0.00499,0.002338,0.002235,0.00074,0.010989,0.002089,0.645469,0.068795,-0.021538,9.3915,86.1899,95.5814,3.3648
15,0.00818893,88.2969,88.1704,88.2546,88.2856,0,1.234359,0.577509,5.662963,1.884616,1.208111,0.231124,0.004955,0.002318,0.00223,0.000742,0.010674,0.002042,0.639472,0.065791,-0.031528,9.5064,86.0764,95.5828,3.1935
16,0.00794099,88.6636,88.5402,88.6549,88.6437,0,1.222239,0.571477,5.633607,1.852335,1.198513,0.229715,0.004907,0.002294,0.002218,0.000729,0.010589,0.00203,0.635197,0.064816,-0.02261,9.5961,85.9629,95.559,3.0875
17,0.00768145,88.9237,88.7965,88.9259,88.9133,0,1.214315,0.559613,5.616501,1.831022,1.155578,0.218855,0.004875,0.002247,0.002211,0.000721,0.01021,0.001934,0.628398,0.062096,-0.028632,12.1584,85.0509,97.2093,3.9783
