epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,9.902640704187784,1.802075116801165,0.9902640704187784,10.0,67.23793011469725,67.21198454381269,67.33470002168313,67.19591687621781
1,9.902640704187784,1.802075116801165,0.9902640704187784,10.0,70.26540410776208,70.22088016859624,70.56502681124812,70.21158330076666
2,9.78927714057082,1.7832847424684157,0.978927714057082,10.0,72.81275006668444,72.8303506511023,73.34037765417214,72.77783444474653
3,10.109362496665778,2.245337373387519,3.548845086324505,10.210332927227395,79.15444118431581,79.1970013470857,79.73407151282734,79.10217853627496
4,33.055481461723126,29.722228598949286,51.21979044633218,33.259294268379605,82.25526807148573,82.24662776627247,82.32850769766854,82.22217923348971
5,62.56335022672713,62.018628066631244,66.33138065771261,62.61636194695755,85.14937316617764,85.04488920823457,85.09957474585008,85.11840894049128
6,73.86636436383036,73.44445007453382,74.97844512171878,73.8389113920502,86.08295545478795,86.04359900363609,86.21435487820197,86.03075664219674
7,79.12776740464123,78.8800899283133,79.58929249782044,79.10721247779352,86.9965324086423,86.92834672807764,86.97170377727973,86.96148895113174
8,81.54841291010936,81.20107425068007,81.96035653952158,81.53591942793123,88.69698586289677,88.65682168521658,88.68060013344274,88.66049824795381
9,83.03547612696718,82.80301627513505,83.2639734737759,83.03362698987543,88.70365430781541,88.63710604404689,88.69599048222827,88.66216271615468
10,84.38250200053348,84.18129914495417,84.52095524713128,84.36836275671634,89.23712990130701,89.1926731024904,89.21531297270981,89.21590775733866
11,85.72285942918111,85.52256988894247,85.7735154411006,85.71037700205382,89.49719925313417,89.47213501657268,89.56255167622707,89.47114782841527
12,86.26300346759136,86.13600282584926,86.3182735124823,86.25876156479002,90.01733795678848,90.0105096513385,90.09156130797983,89.9874207843493
13,86.84315817551347,86.71821166580142,86.95696648616276,86.8328326193961,90.04401173646306,90.02979517676766,90.05177226552578,90.0239303246947
14,87.75673512936784,87.64535028996873,87.75063790490046,87.74315323003623,90.9709255801547,90.93181338467812,90.9432100240586,90.952332045631
15,88.29687916777807,88.170390690371,88.25455104456624,88.28558393243202,90.83088823686316,90.80552757501937,90.83258766346528,90.80426988853534
16,88.66364363830354,88.54024102079808,88.65492229949444,88.64374139876124,90.85756201653774,90.82238893543888,90.81971089930816,90.84095583299995
17,88.9237129901307,88.79647982287379,88.92592842849373,88.91329356939018,91.42437983462257,91.43049213719723,91.49598926640954,91.39923223550588
18,89.24379834622566,89.1192593714423,89.25816585373936,89.23350983941921,91.70445452120566,91.67876094473095,91.68151825601993,91.68708563927716
19,89.57722059215791,89.46421750760699,89.57789137323991,89.56868989877866,91.71779141104295,91.69940520317022,91.72268030042859,91.69555502441199
20,89.7239263803681,89.62134403319496,89.73898948409818,89.7086347826258,92.06455054681248,92.05242099036121,92.07065657288318,92.04646731583203
21,90.09735929581223,90.01398234636319,90.10848050892797,90.08966955694375,91.25100026673779,91.2038039963013,91.24306501484159,91.222344707852
22,89.7972792744732,89.682779237761,89.85639642789707,89.7834570100342,92.0512136569752,92.02961157879935,92.05778258923523,92.02223135553614
23,90.29741264337157,90.19780034024552,90.27692345919662,90.28274996975362,92.26460389437183,92.24517286452848,92.25323373979745,92.24879148221454
24,90.49746599093092,90.41169166885894,90.49183956702194,90.48729392641704,92.27794078420912,92.26536962028098,92.31207443586487,92.25050459711512
25,90.63750333422246,90.55783600747311,90.64460545366705,90.6214096430926,92.25793544945319,92.24875385375165,92.2938140775942,92.23677995328113
26,90.68418244865298,90.60842795456033,90.67727131924,90.67186791784619,92.43131501733795,92.41593717045896,92.43863731233533,92.4200277787849
27,90.75086689783942,90.66725809088375,90.74621896207879,90.74132159674042,92.5846892504668,92.5753420048428,92.60270875095124,92.56378497722098
28,91.1176313683649,91.04152245984834,91.09458146697278,91.10749340310068,92.19791944518538,92.16561159158934,92.17455011872164,92.18596025299748
29,90.86423046145639,90.76617018858308,90.88400188523352,90.8534081324157,92.5113363563617,92.48538711783819,92.50166744199471,92.49338212841029
30,91.25100026673779,91.15547918127103,91.23270399228846,91.24524046494777,92.7047212590024,92.68609509685722,92.71580259478161,92.68007428973412
31,91.29101093624966,91.21067283525906,91.26343117297546,91.2746481748608,92.40464123766337,92.37067616817758,92.37174928062994,92.38451377707445
32,91.25100026673779,91.15241034408625,91.22855679211274,91.23819157740553,92.73806348359562,92.72657322009712,92.75608446723294,92.72678222714316
33,91.47772739397173,91.41477282848655,91.48511571464311,91.46899969246002,92.55801547079221,92.54100389407989,92.5713125806076,92.53176787823406
34,91.2376633769005,91.15083828572634,91.20661426703784,91.22891669811827,92.79807948786343,92.77790313144094,92.78121846375885,92.77943529838423
35,91.4577220592158,91.38303300403636,91.46442257950667,91.44623251999295,93.0914910642838,93.08307298670782,93.1202500586624,93.07339012306295
36,91.52440650840225,91.45168794884245,91.5247593282433,91.51289362915698,92.53801013603628,92.52436876560324,92.54341227877703,92.51951988750872
37,91.62443318218192,91.54358492462984,91.60604073150958,91.61125048652595,92.79807948786343,92.78712190840143,92.81380696190341,92.77895637193048
38,91.52440650840225,91.43765205343394,91.529429325194,91.5170847475596,93.15150706855161,93.14184606781653,93.19136246789587,93.1441247514283
39,91.43771672445986,91.34689330279461,91.46898563534167,91.43335440072133,92.99813283542278,92.9803611039912,92.988493391247,92.98137236161477
40,91.73112830088024,91.65667874574281,91.72666617417546,91.71689960472541,93.238196852494,93.23415002573883,93.279036631397,93.21954175899893
41,91.7711389703921,91.7169014719358,91.77296933519891,91.76224398004507,93.23152840757535,93.2197379471115,93.22690498523355,93.2206719853533
42,92.02453987730061,91.94609159789049,92.01203473218463,92.0188172710551,92.72472659375833,92.69993216309565,92.73389911009366,92.69890558379143
43,91.71112296612431,91.62111098487135,91.71242476590355,91.69896437730095,93.02480661509736,92.99402068229219,93.00381076982701,93.00014678564311
44,91.64443851693785,91.57730787562774,91.65759943447466,91.6370087695394,92.98479594558549,92.96064051902547,92.97395983182402,92.97148165198804
45,91.71112296612431,91.62169331276573,91.72185209301267,91.70688989929253,92.78474259802614,92.7519588392349,92.75940250785567,92.7623657847757
46,92.01787143238197,91.9319475240104,92.0171371422142,92.01161666844264,93.31821819151774,93.2949169834683,93.3038802810981,93.29770997934013
47,91.91117631368365,91.83195553301948,91.89514187142507,91.89757617611049,93.25820218724992,93.23942719422715,93.25020041830051,93.23957113308798
