round,global_acc,global_f1,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_std
1,41.542857142857144,31.582014333049322,0.0,0.0,0.121167980685018,0.007482108582348195,0.40371650783345103,0.11261327341347412,0.0,0.3736030560400751,0.4304328649408288,0.0,0.0
2,61.48571428571429,60.1301342841876,0.0,0.0,0.0714751504859584,0.002936797409296751,0.18650518185459078,0.01515155143859397,0.0,0.5068634397453732,0.5923205130630069,0.0,0.0
3,76.0,75.92734264197219,0.0,0.0,0.07120892996393956,0.003566376812321177,0.11957082829903812,0.010632347844583768,0.0,0.34672047429614594,0.15294342409405443,0.0,0.0
4,77.4857142857143,77.56433274176455,0.0,0.0,0.07170430893093996,0.005317438341681085,0.11523837479762733,0.01392189828404254,0.0,0.24900712900691563,0.051602922628323236,0.0,0.0
5,79.14285714285715,79.170682876424,0.0,0.0,0.07382149386948472,0.004284045086155366,0.12523022005334497,0.01568979380590946,0.0,0.18070666955577003,0.08240634066363176,0.0,0.0
6,81.08571428571429,81.15371977672383,0.0,0.0,0.07396711797568781,0.0017895472726302765,0.127855363371782,0.011400808013525995,0.0,0.13671854486068089,0.02915626197225518,0.0,0.0
7,81.2,81.28742545398146,0.0,0.0,0.08070205390737997,0.0035341649407429243,0.13365805451758206,0.012918526571132107,0.0,0.09605252833829986,0.011147696721471019,0.0,0.0
8,81.6,81.7677046596839,0.0,0.0,0.08058114108323634,0.007649368219285196,0.13307135556824506,0.010736744233066121,0.0,0.08949661635690265,0.015906575549807813,0.0,0.0
9,82.57142857142857,82.7228088833864,0.0,0.0,0.07961181332494774,0.004914743289909232,0.12541256200056522,0.005845806431399471,0.0,0.06972087207767698,0.05225449407266246,0.0,0.0
10,84.0,84.15085483078995,0.0,0.0,0.08297826553500445,0.0064855773147791005,0.12524871805217117,0.008220593629501814,0.0,0.05483535215672519,-0.008874519324551026,0.0,0.0
11,84.45714285714286,84.6117102800688,0.0,0.0,0.08089086480887427,0.00542155134313872,0.12968886739108712,0.010385556240446837,0.0,0.04282316772474183,0.027303549874987867,0.0,0.0
12,84.51428571428572,84.67833663597133,0.0,0.0,0.08331485135425544,0.005221363585340262,0.13217756072990597,0.013008262074182465,0.0,0.03902789722714159,0.0076408836369713145,0.0,0.0
13,84.91428571428571,85.07612706060158,0.0,0.0,0.07873385921801893,0.003100968640646844,0.12499034478096291,0.015976248960360852,0.0,0.03239003367101153,0.024769622108174696,0.0,0.0
14,84.68571428571428,84.82666113188358,0.0,0.0,0.0837358055429819,0.0032692760957514382,0.1172478313324973,0.008039120451708452,0.0,0.02372706454092016,-0.012830723428891765,0.0,0.0
15,84.91428571428571,85.03126979285685,0.0,0.0,0.08275201271780919,0.006757754200188762,0.11717311990214511,0.009447329680853234,0.0,0.02343895526913305,-0.00013993972291549047,0.0,0.0
16,85.6,85.75015586986446,0.0,0.0,0.08052003049004719,0.009122538462096964,0.1166574108065106,0.014681890057204551,0.0,0.016415531400384174,-0.03459896033422814,0.0,0.0
17,86.11428571428571,86.2377525083628,0.0,0.0,0.07758462289843608,0.007503738720051663,0.11003735273843632,0.00786260841664633,0.0,0.013873222943705818,-0.016314238847957716,0.0,0.0
18,86.62857142857143,86.80720054564233,0.0,0.0,0.0747987158426627,0.008343543997218749,0.10333265303634107,0.014713972240122065,0.0,0.010659117199894454,-0.015417393752270275,0.0,0.0
19,86.57142857142858,86.723101272421,0.0,0.0,0.06193881483825751,0.0076776849920321905,0.09296649197349324,0.008977794876060123,0.0,0.006865387570319904,0.0430592990687324,0.0,0.0
20,87.71428571428571,87.87649518988837,0.0,0.0,0.05035548728209917,0.00561935793326068,0.07587460024515166,0.009107268954492143,0.0,-0.004462113365944889,-0.021471104475980003,0.0,0.0
