epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,26.0,11.75166478441864,16.436126054326895,25.336229569503537,50.97142857142857,50.97431638919794,51.05193007410418,51.24882232728394
1,44.628571428571426,38.79541005943775,34.03822709113524,45.33536552656424,59.02857142857143,58.92283910603964,59.98462111764889,59.878917370730036
2,64.6857142857143,64.88324559520713,68.02330741014246,65.71167641388277,67.25714285714287,67.4098119654898,67.3745835646597,67.72280837640704
3,73.6,73.70632535037107,74.08998707630579,74.21169670047851,69.65714285714286,69.67457501466046,69.59218780669961,70.2541410909389
4,77.31428571428572,77.32701722853032,77.96264925574509,78.11668508567514,72.22857142857143,72.40485906471528,72.42841290723186,72.4474660544727
5,78.51428571428572,78.65589556433606,78.56758073099928,79.03982719254745,72.8,72.9930903173238,72.9535884647895,73.25014576688925
6,81.37142857142857,81.46979090977024,81.34621162063202,81.91114629299254,76.11428571428571,76.18045153414769,76.05399336498324,76.56143014638933
7,82.0,82.05638739175325,81.93141452892093,82.66459145222905,75.14285714285714,75.45833872975423,75.59708663468496,75.47041645975617
8,82.0,82.22052047509136,82.39052049187221,82.56980607660672,78.0,78.08603285387143,77.93324373033433,78.45639207854629
9,83.25714285714285,83.34750469851895,83.27199355956533,83.92603276582523,76.97142857142858,77.12941815298443,77.11150973675585,77.56392129635307
10,82.45714285714286,82.68161011297282,82.74477818844868,83.03709102819025,77.25714285714285,77.51824669949538,77.731505794058,77.53975654779501
11,84.0,84.20975557321324,84.22016624031544,84.57470677602667,78.97142857142858,79.12527774124013,78.93521106910151,79.47559643159136
12,84.97142857142858,85.12555990972905,85.07918984050393,85.60251306431222,80.34285714285714,80.58537357334568,80.54353433639314,80.76895454196088
13,85.14285714285714,85.371296110375,85.40046089145814,85.7033267661245,80.51428571428572,80.70400394984067,80.54794273820956,80.94915223316889
14,85.14285714285714,85.35401732137468,85.24533354989123,85.73647821405524,81.31428571428572,81.55439478581712,81.38410282075785,81.80149206315147
15,85.65714285714286,85.84263780448568,85.77448852030236,86.24845753753681,81.08571428571429,81.40789605573,81.44353273240326,81.39445187931504
16,86.05714285714285,86.27666981536655,86.20098817868535,86.57538039176418,82.34285714285714,82.52429942572176,82.33895815375787,82.883581315147
17,85.94285714285715,86.11205921087283,85.9307077585191,86.58885866689918,82.34285714285714,82.56380739345408,82.35742486286803,82.89642257414604
18,86.5142857142857,86.71792159599929,86.66511908146528,87.07784296735889,83.31428571428572,83.48057090192403,83.26847840198838,83.91882673144073
19,86.91428571428571,87.07247735234999,86.92055587416706,87.5360516364038,84.39999999999999,84.63660030855817,84.47288514823865,84.8638498370147
